1808 東証1部 (株)長谷工コーポレーション（建設業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2016-01-04","1326","1334","1282","1289","3713200","1289"
"2016-01-05","1276","1298","1270","1289","2242300","1289"
"2016-01-06","1298","1303","1256","1265","2524500","1265"
"2016-01-07","1252","1274","1237","1241","2450200","1241"
"2016-01-08","1220","1262","1220","1236","2849700","1236"
"2016-01-12","1230","1241","1200","1207","2853600","1207"
"2016-01-13","1247","1273","1236","1269","3548900","1269"
"2016-01-14","1228","1229","1195","1222","2824600","1222"
"2016-01-15","1249","1258","1187","1194","2901100","1194"
"2016-01-18","1158","1176","1145","1171","2390100","1171"
"2016-01-19","1157","1175","1152","1163","1980300","1163"
"2016-01-20","1155","1155","1069","1073","4950400","1073"
"2016-01-21","1101","1123","1063","1063","7367700","1063"
"2016-01-22","1115","1133","1085","1131","3410200","1131"
"2016-01-25","1151","1160","1110","1134","3515800","1134"
"2016-01-26","1121","1141","1113","1124","2498700","1124"
"2016-01-27","1150","1172","1140","1157","2153200","1157"
"2016-01-28","1141","1158","1129","1147","1508200","1147"
"2016-01-29","1148","1249","1141","1245","5256400","1245"
"2016-02-01","1290","1339","1288","1333","5950800","1333"
"2016-02-02","1303","1325","1266","1277","3487400","1277"
"2016-02-03","1235","1244","1216","1237","2475200","1237"
"2016-02-04","1215","1225","1191","1197","2613700","1197"
"2016-02-05","1178","1179","1129","1145","3189700","1145"
"2016-02-08","1129","1188","1117","1177","2468500","1177"
"2016-02-09","1113","1124","1092","1102","2703200","1102"
"2016-02-10","1102","1111","1041","1062","3222800","1062"
"2016-02-12","960","1001","940","946","8810200","946"
"2016-02-15","1006","1045","990","1040","3593200","1040"
"2016-02-16","1015","1072","1003","1038","4745800","1038"
"2016-02-17","1030","1046","976","990","5237200","990"
"2016-02-18","1020","1022","1001","1005","3650000","1005"
"2016-02-19","987","990","969","977","3158500","977"
"2016-02-22","947","969","941","946","4380900","946"
"2016-02-23","960","963","917","925","4746100","925"
"2016-02-24","913","927","891","919","4427900","919"
"2016-02-25","920","972","920","964","5464600","964"
"2016-02-26","975","989","966","966","4270200","966"
"2016-02-29","989","1019","975","977","3893500","977"
"2016-03-01","970","1016","968","1013","4022100","1013"
"2016-03-02","1040","1050","1031","1045","4648900","1045"
"2016-03-03","1035","1049","1025","1045","3331700","1045"
"2016-03-04","1050","1068","1048","1057","2473000","1057"
"2016-03-07","1056","1059","1037","1038","2191600","1038"
"2016-03-08","1028","1045","1003","1018","3009700","1018"
"2016-03-09","1002","1016","991","1008","2265200","1008"
"2016-03-10","1016","1033","995","1023","2720100","1023"
"2016-03-11","1011","1053","1008","1048","4142900","1048"
"2016-03-14","1070","1116","1069","1097","3828300","1097"
"2016-03-15","1102","1122","1065","1085","4246500","1085"
"2016-03-16","1071","1093","1070","1083","2179100","1083"
"2016-03-17","1095","1119","1073","1088","3231900","1088"
"2016-03-18","1088","1098","1066","1084","3106500","1084"
"2016-03-22","1104","1116","1075","1094","2352300","1094"
"2016-03-23","1097","1099","1081","1087","1937300","1087"
"2016-03-24","1088","1094","1077","1082","1858300","1082"
"2016-03-25","1081","1082","1026","1035","3847100","1035"
"2016-03-28","1058","1084","1055","1082","3483100","1082"
"2016-03-29","1080","1109","1073","1097","3096000","1097"
"2016-03-30","1096","1100","1072","1075","2047500","1075"
"2016-03-31","1084","1088","1045","1048","2277400","1048"
"2016-04-01","1045","1045","1001","1006","3193200","1006"
"2016-04-04","997","1018","987","998","2109800","998"
"2016-04-05","990","998","964","972","2936100","972"
"2016-04-06","958","972","943","971","2718000","971"
"2016-04-07","971","993","961","989","2472300","989"
"2016-04-08","974","1013","964","997","2533100","997"
"2016-04-11","1000","1001","971","992","1739500","992"
"2016-04-12","994","1012","991","1010","2015100","1010"
"2016-04-13","1026","1049","1022","1045","2671900","1045"
"2016-04-14","1068","1076","1060","1070","2208000","1070"
"2016-04-15","1059","1071","1051","1056","1947700","1056"
"2016-04-18","1011","1040","1011","1029","1748100","1029"
"2016-04-19","1053","1058","1037","1051","1694100","1051"
"2016-04-20","1056","1066","1034","1040","1781700","1040"
"2016-04-21","1060","1089","1054","1081","2805200","1081"
"2016-04-22","1071","1114","1068","1111","2666300","1111"
"2016-04-25","1125","1130","1090","1093","1769700","1093"
"2016-04-26","1090","1099","1057","1063","2100300","1063"
"2016-04-27","1069","1078","1063","1074","1359200","1074"
"2016-04-28","1083","1086","1017","1020","2682800","1020"
"2016-05-02","971","989","971","978","2059200","978"
"2016-05-06","980","991","962","967","1970700","967"
"2016-05-09","970","990","967","985","2174400","985"
"2016-05-10","992","1018","986","1015","1893700","1015"
"2016-05-11","1028","1034","1009","1024","1791500","1024"
