1898 東証1部 世紀東急工業(株)（建設業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-01-05","619","620","612","615","104800","615"
"2015-01-06","608","609","596","597","173100","597"
"2015-01-07","595","599","591","593","137400","593"
"2015-01-08","598","601","596","598","104400","598"
"2015-01-09","600","603","591","595","118400","595"
"2015-01-13","589","589","579","585","136400","585"
"2015-01-14","582","590","574","577","141000","577"
"2015-01-15","579","596","579","594","131400","594"
"2015-01-16","583","584","573","582","244500","582"
"2015-01-19","583","588","575","579","78900","579"
"2015-01-20","583","588","580","585","97100","585"
"2015-01-21","582","583","576","582","181800","582"
"2015-01-22","576","580","566","570","213500","570"
"2015-01-23","576","579","569","573","159900","573"
"2015-01-26","575","575","565","569","98000","569"
"2015-01-27","571","575","566","574","141500","574"
"2015-01-28","572","579","566","566","363300","566"
"2015-01-29","566","569","551","555","392100","555"
"2015-01-30","553","561","552","560","177900","560"
"2015-02-02","564","564","552","553","159900","553"
"2015-02-03","560","560","545","547","210300","547"
"2015-02-04","550","558","546","552","128900","552"
"2015-02-05","551","558","547","552","186800","552"
"2015-02-06","547","554","546","550","118200","550"
"2015-02-09","556","568","553","568","263800","568"
"2015-02-10","562","562","548","548","445600","548"
"2015-02-12","550","553","544","544","335000","544"
"2015-02-13","546","554","545","552","183500","552"
"2015-02-16","548","558","547","548","255800","548"
"2015-02-17","549","554","547","548","246600","548"
"2015-02-18","550","554","548","549","313100","549"
"2015-02-19","548","560","548","557","306900","557"
"2015-02-20","559","560","553","558","224100","558"
"2015-02-23","559","559","551","555","327500","555"
"2015-02-24","554","558","551","553","221700","553"
"2015-02-25","554","555","543","546","488500","546"
"2015-02-26","547","549","543","546","270400","546"
"2015-02-27","545","548","542","544","346500","544"
"2015-03-02","542","544","537","538","280400","538"
"2015-03-03","537","541","535","537","214200","537"
"2015-03-04","534","538","532","534","225700","534"
"2015-03-05","532","534","529","529","185100","529"
"2015-03-06","529","531","519","524","521900","524"
"2015-03-09","528","534","524","529","281800","529"
"2015-03-10","528","530","523","525","214600","525"
"2015-03-11","524","531","522","528","232200","528"
"2015-03-12","533","535","523","524","181600","524"
"2015-03-13","527","529","523","526","349300","526"
"2015-03-16","528","531","527","530","188300","530"
"2015-03-17","534","534","528","528","125500","528"
"2015-03-18","530","530","526","529","143600","529"
"2015-03-19","528","528","526","527","143300","527"
"2015-03-20","526","529","524","528","163300","528"
"2015-03-23","528","529","526","528","218100","528"
"2015-03-24","527","534","526","532","249200","532"
"2015-03-25","530","535","529","531","240000","531"
"2015-03-26","531","533","527","532","275800","532"
"2015-03-27","522","528","517","519","247400","519"
"2015-03-30","516","518","507","510","256700","510"
"2015-03-31","510","525","510","518","204900","518"
"2015-04-01","515","519","513","516","139600","516"
"2015-04-02","520","526","516","523","202200","523"
"2015-04-03","520","524","518","524","91400","524"
"2015-04-06","524","525","521","524","142900","524"
"2015-04-07","523","540","523","537","375500","537"
"2015-04-08","539","545","537","541","240000","541"
"2015-04-09","541","542","534","537","178300","537"
"2015-04-10","537","538","527","537","206400","537"
"2015-04-13","537","541","532","540","125000","540"
"2015-04-14","539","547","536","545","249500","545"
"2015-04-15","548","551","543","543","199800","543"
"2015-04-16","543","545","538","542","113500","542"
"2015-04-17","540","548","537","542","176500","542"
"2015-04-20","537","539","528","532","170000","532"
"2015-04-21","532","536","527","530","142900","530"
"2015-04-22","531","533","528","528","98000","528"
"2015-04-23","541","543","536","540","206200","540"
"2015-04-24","542","557","542","554","739000","554"
"2015-04-27","557","559","547","548","270800","548"
"2015-04-28","548","552","546","548","122300","548"
"2015-04-30","546","549","542","546","170100","546"
"2015-05-01","540","541","534","539","134400","539"
"2015-05-07","532","543","532","538","120900","538"
"2015-05-08","542","548","539","546","159300","546"
"2015-05-11","549","554","539","540","205200","540"
"2015-05-12","541","555","540","553","399700","553"
"2015-05-13","554","555","550","553","169900","553"
"2015-05-14","550","554","544","551","231700","551"
"2015-05-15","547","549","541","543","197100","543"
"2015-05-18","543","553","542","553","180000","553"
"2015-05-19","554","554","545","551","190100","551"
"2015-05-20","548","551","546","550","157200","550"
"2015-05-21","548","550","544","545","171700","545"
"2015-05-22","546","551","545","551","143200","551"
"2015-05-25","551","555","549","549","151900","549"
"2015-05-26","547","549","546","547","64400","547"
"2015-05-27","547","554","545","553","143900","553"
"2015-05-28","552","553","547","549","148200","549"
"2015-05-29","547","549","542","544","195900","544"
"2015-06-01","544","554","544","549","179100","549"
"2015-06-02","549","552","546","550","196600","550"
"2015-06-03","547","557","547","555","253500","555"
"2015-06-04","555","566","554","564","559900","564"
"2015-06-05","567","568","550","554","431600","554"
"2015-06-08","556","565","556","561","261200","561"
"2015-06-09","559","560","549","551","221000","551"
"2015-06-10","552","556","549","550","144000","550"
"2015-06-11","552","555","551","554","129100","554"
"2015-06-12","557","557","552","553","117800","553"
"2015-06-15","552","553","546","550","129900","550"
"2015-06-16","550","550","546","547","93200","547"
"2015-06-17","547","551","547","549","134700","549"
"2015-06-18","551","561","548","556","404000","556"
"2015-06-19","553","559","552","557","154000","557"
"2015-06-22","559","563","558","558","140700","558"
"2015-06-23","558","561","557","560","91700","560"
"2015-06-24","561","570","559","568","353500","568"
"2015-06-25","563","567","560","564","187400","564"
"2015-06-26","564","568","560","565","145600","565"
"2015-06-29","549","555","548","550","171100","550"
"2015-06-30","550","564","550","562","277900","562"
"2015-07-01","555","563","555","559","132900","559"
"2015-07-02","564","567","561","562","114600","562"
"2015-07-03","566","566","562","564","147500","564"
"2015-07-06","555","561","554","554","106500","554"
"2015-07-07","560","562","554","558","130200","558"
"2015-07-08","554","556","536","536","268300","536"
"2015-07-09","525","530","508","529","298000","529"
"2015-07-10","530","547","530","532","144300","532"
"2015-07-13","535","542","534","537","66700","537"
"2015-07-14","543","551","543","549","157400","549"
"2015-07-15","549","553","540","550","219000","550"
"2015-07-16","553","554","547","553","192900","553"
"2015-07-17","555","555","547","549","137100","549"
"2015-07-21","549","551","546","546","64500","546"
"2015-07-22","544","552","542","549","109400","549"
"2015-07-23","551","551","546","550","68500","550"
"2015-07-24","551","560","550","552","178200","552"
"2015-07-27","558","558","542","545","112500","545"
"2015-07-28","543","545","537","542","90900","542"
"2015-07-29","543","546","539","540","72900","540"
"2015-07-30","545","555","541","555","157900","555"
"2015-07-31","554","554","547","552","93400","552"
"2015-08-03","550","555","547","549","125100","549"
"2015-08-04","539","545","533","538","317100","538"
"2015-08-05","541","552","533","552","229600","552"
"2015-08-06","560","563","538","540","668200","540"
"2015-08-07","539","544","535","542","163500","542"
"2015-08-10","540","558","537","556","385000","556"
"2015-08-11","562","563","550","558","301700","558"
"2015-08-12","553","559","549","557","175700","557"
"2015-08-13","554","561","554","557","168900","557"
"2015-08-14","556","556","550","553","101100","553"
"2015-08-17","555","563","553","563","197400","563"
"2015-08-18","565","579","564","570","578000","570"
"2015-08-19","567","568","559","563","212600","563"
"2015-08-20","559","563","554","556","164400","556"
"2015-08-21","544","552","536","537","293500","537"
"2015-08-24","518","530","500","500","671900","500"
"2015-08-25","485","509","466","480","394500","480"
"2015-08-26","490","496","487","494","188700","494"
"2015-08-27","511","532","509","522","431200","522"
"2015-08-28","540","544","533","536","265600","536"
"2015-08-31","541","560","532","556","376300","556"
"2015-09-01","556","560","539","539","358500","539"
