4188 東証1部 (株)三菱ケミカルホールディングス（化学）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","812","824.1","798.6","821.7","6401500","821.7"
"2019-01-07","849.9","860.6","842","844.5","5641100","844.5"
"2019-01-08","848.4","868.4","843.4","857","7303600","857"
"2019-01-09","865.8","868","852.5","864","6238700","864"
"2019-01-10","853","863.6","849.5","859.3","4144200","859.3"
"2019-01-11","860.5","877.1","860.1","875.9","5089600","875.9"
"2019-01-15","873.6","893.8","872.8","886.3","6144500","886.3"
"2019-01-16","884","886.3","872.3","883.2","4512800","883.2"
"2019-01-17","890.9","893.5","878.9","883.1","3632900","883.1"
"2019-01-18","895.1","899.6","886.5","892.3","3846900","892.3"
"2019-01-21","913","924","910.2","917.7","5797900","917.7"
"2019-01-22","912.4","921.9","906.1","909.4","3785600","909.4"
"2019-01-23","909.4","921.4","900.5","913.7","4875800","913.7"
"2019-01-24","922.5","935.4","917.9","933.7","7012200","933.7"
"2019-01-25","927.1","939","924.1","939","5635900","939"
"2019-01-28","938","941.3","923.7","925.9","5202000","925.9"
"2019-01-29","921.9","929.8","917.4","926.6","4619900","926.6"
"2019-01-30","926","929.3","917.4","926.6","4901700","926.6"
"2019-01-31","938.5","944","929.7","933.1","4456600","933.1"
"2019-02-01","916.7","926.5","912.7","920.4","4896500","920.4"
"2019-02-04","925.3","934","923.8","933.5","4668800","933.5"
"2019-02-05","934","934.6","926","928.3","4411900","928.3"
"2019-02-06","926.3","927.1","880.9","901.8","11882600","901.8"
"2019-02-07","880","881.4","836.1","846.5","14390000","846.5"
"2019-02-08","831.5","835","797.2","797.3","12987400","797.3"
"2019-02-12","799.7","820.2","794.1","813","11209900","813"
"2019-02-13","825","827.8","818.3","819.8","8828400","819.8"
"2019-02-14","826","832.8","816.2","818.5","8784000","818.5"
"2019-02-15","814.9","817.8","805.6","807.5","4637000","807.5"
"2019-02-18","822.5","824","814.5","821","5304100","821"
"2019-02-19","821","832","818.5","827.2","5932700","827.2"
"2019-02-20","830","838.9","827.7","834.2","5704100","834.2"
"2019-02-21","836.3","842.9","832.8","832.9","7209500","832.9"
"2019-02-22","824","827.8","820.5","826","5864300","826"
"2019-02-25","832.7","835.1","824","825.1","4671700","825.1"
"2019-02-26","825.1","833.7","824.1","831.5","5493100","831.5"
"2019-02-27","830","835.7","824.8","833.1","5808600","833.1"
"2019-02-28","830.6","831.4","820.1","821.9","7398400","821.9"
"2019-03-01","818.5","821.2","807.6","810.1","8919000","810.1"
"2019-03-04","820","826","818.4","825.8","5457100","825.8"
"2019-03-05","822","825.9","819","822.5","6837800","822.5"
"2019-03-06","817.9","829","814.6","826.1","6434000","826.1"
"2019-03-07","820","822.3","811.4","811.4","6831500","811.4"
"2019-03-08","807.4","813.3","800.1","800.1","9240700","800.1"
