4502 東証1部 武田薬品工業(株)（医薬品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","3620","3772","3597","3715","15245100","3715"
"2019-01-07","4065","4085","3907","3995","13788300","3995"
"2019-01-08","4065","4110","3989","4085","13642500","4085"
"2019-01-09","4195","4251","4150","4200","14282200","4200"
"2019-01-10","4223","4355","4195","4200","20643200","4200"
"2019-01-11","4340","4415","4292","4414","22978100","4414"
"2019-01-15","4400","4405","4354","4369","15401600","4369"
"2019-01-16","4300","4330","4252","4321","13438200","4321"
"2019-01-17","4287","4301","4194","4281","14497500","4281"
"2019-01-18","4300","4334","4275","4296","9347300","4296"
"2019-01-21","4364","4463","4363","4437","12522900","4437"
"2019-01-22","4507","4550","4445","4449","12061800","4449"
"2019-01-23","4400","4463","4383","4388","10002800","4388"
"2019-01-24","4351","4437","4350","4425","7764900","4425"
"2019-01-25","4380","4500","4370","4500","10058800","4500"
"2019-01-28","4495","4575","4487","4509","13983100","4509"
"2019-01-29","4390","4472","4380","4442","11995200","4442"
"2019-01-30","4411","4508","4365","4499","36597300","4499"
"2019-01-31","4470","4475","4351","4389","13864300","4389"
"2019-02-01","4360","4438","4345","4400","7340900","4400"
"2019-02-04","4440","4493","4420","4453","8842000","4453"
"2019-02-05","4449","4464","4311","4314","9214000","4314"
"2019-02-06","4320","4467","4319","4422","9913400","4422"
"2019-02-07","4471","4492","4425","4457","6354600","4457"
"2019-02-08","4444","4450","4333","4362","8042900","4362"
"2019-02-12","4313","4358","4280","4342","9704900","4342"
"2019-02-13","4371","4443","4344","4443","8030700","4443"
"2019-02-14","4430","4514","4404","4488","7764700","4488"
"2019-02-15","4445","4484","4391","4479","6894700","4479"
"2019-02-18","4505","4517","4480","4508","6310100","4508"
"2019-02-19","4508","4533","4481","4500","4781100","4500"
"2019-02-20","4550","4551","4487","4492","5906900","4492"
"2019-02-21","4469","4488","4429","4440","7236000","4440"
"2019-02-22","4396","4435","4373","4415","5918400","4415"
"2019-02-25","4453","4464","4416","4424","5837200","4424"
"2019-02-26","4424","4462","4408","4425","7665300","4425"
"2019-02-27","4456","4550","4440","4517","42228000","4517"
"2019-02-28","4451","4546","4451","4469","12095400","4469"
"2019-03-01","4513","4627","4473","4599","9704100","4599"
"2019-03-04","4655","4822","4600","4808","14809900","4808"
"2019-03-05","4758","4767","4682","4683","10281300","4683"
"2019-03-06","4657","4690","4615","4638","6420300","4638"
"2019-03-07","4542","4587","4518","4542","7661400","4542"
"2019-03-08","4528","4574","4502","4506","7132100","4506"
"2019-03-11","4550","4602","4536","4576","4404200","4576"
"2019-03-12","4646","4659","4617","4633","4917400","4633"
"2019-03-13","4667","4684","4590","4625","4936800","4625"
"2019-03-14","4664","4681","4628","4641","4916700","4641"
"2019-03-15","4676","4732","4664","4713","7363100","4713"
"2019-03-18","4730","4764","4683","4760","4621100","4760"
"2019-03-19","4732","4765","4702","4748","5812800","4748"
"2019-03-20","4793","4812","4750","4753","6691500","4753"
"2019-03-22","4800","4812","4685","4719","8453700","4719"
"2019-03-25","4635","4646","4577","4599","5766200","4599"
"2019-03-26","4618","4723","4604","4710","8626300","4710"
"2019-03-27","4674","4699","4645","4673","5513900","4673"
"2019-03-28","4610","4620","4532","4572","5537600","4572"
"2019-03-29","4553","4574","4515","4521","5817500","4521"
"2019-04-01","4600","4625","4575","4575","5873400","4575"
"2019-04-02","4615","4618","4552","4552","3868800","4552"
"2019-04-03","4525","4577","4474","4560","5015800","4560"
"2019-04-04","4500","4515","4481","4506","3838500","4506"
"2019-04-05","4485","4522","4473","4499","3973900","4499"
"2019-04-08","4475","4488","4413","4443","4328800","4443"
"2019-04-09","4419","4465","4390","4449","3597000","4449"
"2019-04-10","4394","4426","4363","4412","4435000","4412"
"2019-04-11","4377","4417","4358","4390","4492100","4390"
"2019-04-12","4357","4358","4275","4293","6668800","4293"
"2019-04-15","4205","4308","4195","4277","6374000","4277"
"2019-04-16","4235","4283","4216","4269","4734200","4269"
"2019-04-17","4270","4274","4208","4219","4703500","4219"
"2019-04-18","4157","4157","4061","4070","8450300","4070"
"2019-04-19","4059","4080","4042","4059","4606800","4059"
"2019-04-22","4060","4130","4059","4118","4460800","4118"
"2019-04-23","4081","4117","4069","4101","5020500","4101"
"2019-04-24","4200","4207","4140","4146","5369400","4146"
"2019-04-25","4121","4183","4109","4173","4497400","4173"
"2019-04-26","4192","4195","4107","4112","6542700","4112"
"2019-05-07","4110","4254","4100","4254","8659500","4254"
"2019-05-08","4114","4161","4070","4119","8417800","4119"
"2019-05-09","4210","4253","4118","4127","5765800","4127"
"2019-05-10","4215","4344","4209","4291","9311000","4291"
"2019-05-13","4314","4358","4304","4318","5619100","4318"
"2019-05-14","4254","4333","4241","4307","4353300","4307"
"2019-05-15","4050","4057","3937","3970","16392000","3970"
"2019-05-16","3968","3968","3807","3851","11830500","3851"
"2019-05-17","3844","3903","3790","3849","8225100","3849"
"2019-05-20","3900","4029","3897","4004","8493200","4004"
"2019-05-21","4033","4063","3967","3975","6356800","3975"
"2019-05-22","3952","3954","3897","3900","4778700","3900"
"2019-05-23","3865","3905","3827","3872","5366800","3872"
"2019-05-24","3840","3879","3829","3847","4393500","3847"
"2019-05-27","3894","3965","3887","3942","4345000","3942"
"2019-05-28","3950","3958","3923","3949","4889900","3949"
"2019-05-29","3868","3898","3836","3850","5167300","3850"
"2019-05-30","3837","3844","3741","3791","6226200","3791"
"2019-05-31","3740","3740","3630","3669","11671400","3669"
"2019-06-03","3590","3651","3568","3572","11423700","3572"
"2019-06-04","3580","3627","3577","3601","5036700","3601"
"2019-06-05","3660","3672","3622","3647","5455200","3647"
"2019-06-06","3626","3677","3600","3612","5501000","3612"
"2019-06-07","3680","3722","3662","3690","5821500","3690"
"2019-06-10","3772","3798","3752","3775","6012900","3775"
"2019-06-11","3781","3846","3776","3831","4609400","3831"
"2019-06-12","3800","3845","3787","3815","4379200","3815"
"2019-06-13","3790","3815","3720","3760","5481600","3760"
"2019-06-14","3753","3756","3705","3750","3888700","3750"
"2019-06-17","3701","3719","3676","3697","3637800","3697"
"2019-06-18","3750","3769","3694","3703","4326100","3703"
"2019-06-19","3780","3825","3766","3823","5482000","3823"
"2019-06-20","3850","3854","3806","3823","3045600","3823"
"2019-06-21","3832","3839","3753","3778","6996600","3778"
"2019-06-24","3746","3757","3717","3741","3034700","3741"
"2019-06-25","3781","3853","3775","3792","4594700","3792"
