6178 東証1部 日本郵政(株)（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","1251","1272","1242","1265","7954900","1265"
"2019-01-07","1281","1289","1275","1286","7023200","1286"
"2019-01-08","1284","1298","1279","1284","6823000","1284"
"2019-01-09","1301","1309","1294","1302","6467200","1302"
"2019-01-10","1292","1306","1283","1305","7812800","1305"
"2019-01-11","1310","1321","1305","1321","7047600","1321"
"2019-01-15","1330","1339","1320","1336","8062500","1336"
"2019-01-16","1333","1344","1325","1344","8046100","1344"
"2019-01-17","1348","1359","1340","1355","8151900","1355"
"2019-01-18","1353","1360","1349","1349","6224600","1349"
"2019-01-21","1357","1357","1343","1352","4879500","1352"
"2019-01-22","1349","1355","1343","1352","3636800","1352"
"2019-01-23","1345","1350","1336","1336","4840000","1336"
"2019-01-24","1339","1353","1337","1343","6923700","1343"
"2019-01-25","1334","1343","1328","1328","4578200","1328"
"2019-01-28","1335","1338","1325","1327","4176400","1327"
"2019-01-29","1323","1335","1322","1329","4387000","1329"
"2019-01-30","1327","1332","1323","1325","4818700","1325"
"2019-01-31","1338","1344","1328","1337","5501600","1337"
"2019-02-01","1339","1343","1324","1324","3979800","1324"
"2019-02-04","1335","1353","1334","1348","5923000","1348"
"2019-02-05","1344","1346","1336","1339","4363200","1339"
"2019-02-06","1339","1343","1334","1335","2983900","1335"
"2019-02-07","1329","1330","1317","1322","4628500","1322"
"2019-02-08","1312","1318","1300","1309","5416900","1309"
"2019-02-12","1324","1332","1321","1322","5978300","1322"
"2019-02-13","1328","1335","1320","1333","5040900","1333"
"2019-02-14","1329","1344","1324","1337","5989400","1337"
"2019-02-15","1345","1345","1334","1343","5071700","1343"
"2019-02-18","1353","1360","1350","1355","5530900","1355"
"2019-02-19","1348","1362","1348","1358","4988400","1358"
"2019-02-20","1364","1369","1356","1356","5161100","1356"
"2019-02-21","1353","1353","1333","1345","4888100","1345"
"2019-02-22","1338","1346","1336","1338","4410000","1338"
"2019-02-25","1345","1350","1340","1346","3316400","1346"
"2019-02-26","1349","1351","1343","1344","3747800","1344"
"2019-02-27","1347","1354","1345","1351","4402000","1351"
"2019-02-28","1353","1360","1353","1355","5478200","1355"
"2019-03-01","1355","1360","1347","1353","4491400","1353"
"2019-03-04","1360","1364","1353","1358","3226400","1358"
"2019-03-05","1360","1363","1350","1355","3927700","1355"
"2019-03-06","1357","1357","1346","1350","3642600","1350"
"2019-03-07","1350","1357","1344","1355","3340800","1355"
"2019-03-08","1344","1347","1323","1326","6137200","1326"
"2019-03-11","1330","1334","1324","1328","4152600","1328"
"2019-03-12","1340","1351","1340","1342","5060100","1342"
"2019-03-13","1336","1346","1331","1335","3753000","1335"
"2019-03-14","1334","1341","1312","1312","7602600","1312"
"2019-03-15","1314","1323","1314","1319","6996400","1319"
"2019-03-18","1319","1321","1311","1315","4925300","1315"
"2019-03-19","1322","1328","1316","1317","4154600","1317"
"2019-03-20","1315","1321","1311","1312","5274600","1312"
"2019-03-22","1313","1317","1298","1317","7011300","1317"
"2019-03-25","1310","1313","1300","1309","5958600","1309"
"2019-03-26","1315","1325","1312","1324","9116900","1324"
"2019-03-27","1314","1318","1299","1316","6517900","1316"
"2019-03-28","1309","1312","1294","1299","5839700","1299"
"2019-03-29","1300","1308","1295","1296","3944400","1296"
"2019-04-01","1298","1311","1295","1305","5234200","1305"
"2019-04-02","1317","1322","1313","1315","4495500","1315"
"2019-04-03","1322","1325","1315","1317","4591400","1317"
"2019-04-04","1313","1315","1297","1300","4459500","1300"
"2019-04-05","1300","1313","1300","1303","6023400","1303"
