6384 東証JQS (株)昭和真空（機械）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","2419","2486","2385","2450","123700","2450"
"2018-01-05","2451","2555","2449","2548","155400","2548"
"2018-01-09","2580","2580","2508","2528","112700","2528"
"2018-01-10","2528","2539","2442","2495","135400","2495"
"2018-01-11","2458","2512","2446","2488","73000","2488"
"2018-01-12","2512","2544","2492","2505","64200","2505"
"2018-01-15","2529","2627","2529","2619","128800","2619"
"2018-01-16","2619","2619","2524","2588","138700","2588"
"2018-01-17","2570","2620","2565","2575","104600","2575"
"2018-01-18","2625","2695","2594","2640","194000","2640"
"2018-01-19","2665","2728","2641","2722","162700","2722"
"2018-01-22","2728","2767","2702","2750","119700","2750"
"2018-01-23","2770","2845","2722","2748","175400","2748"
"2018-01-24","2750","2804","2695","2728","148200","2728"
"2018-01-25","2680","2761","2663","2757","96700","2757"
"2018-01-26","2760","2777","2708","2710","97900","2710"
"2018-01-29","2686","2722","2651","2698","121600","2698"
"2018-01-30","2657","2662","2548","2586","185300","2586"
"2018-01-31","2522","2600","2517","2532","105700","2532"
"2018-02-01","2530","2674","2518","2666","118400","2666"
"2018-02-02","2661","2666","2576","2636","76000","2636"
"2018-02-05","2500","2553","2500","2524","100300","2524"
"2018-02-06","2337","2389","2100","2245","301800","2245"
"2018-02-07","2395","2397","2259","2260","146300","2260"
"2018-02-08","2284","2330","2241","2263","112700","2263"
"2018-02-09","2040","2240","2040","2234","203200","2234"
"2018-02-13","2634","2650","2523","2541","446500","2541"
"2018-02-14","2545","2631","2435","2457","167400","2457"
"2018-02-15","2520","2550","2446","2503","95900","2503"
"2018-02-16","2535","2560","2430","2453","112100","2453"
"2018-02-19","2463","2540","2438","2540","64500","2540"
"2018-02-20","2545","2558","2500","2544","53000","2544"
"2018-02-21","2543","2635","2524","2610","90800","2610"
"2018-02-22","2620","2641","2541","2629","76600","2629"
"2018-02-23","2650","2690","2611","2654","64100","2654"
"2018-02-26","2720","2785","2704","2709","185200","2709"
"2018-02-27","2749","2761","2700","2714","72100","2714"
"2018-02-28","2700","2730","2660","2707","64400","2707"
"2018-03-01","2700","2737","2654","2722","73900","2722"
"2018-03-02","2700","2749","2644","2698","89000","2698"
"2018-03-05","2653","2689","2397","2468","133000","2468"
"2018-03-06","2580","2651","2542","2579","58000","2579"
"2018-03-07","2615","2615","2498","2526","49900","2526"
"2018-03-08","2576","2630","2552","2561","57100","2561"
"2018-03-09","2610","2634","2562","2630","41600","2630"
