7224 東証1部 新明和工業(株)（輸送用機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","1068","1114","1062","1108","993000","1108"
"2017-01-05","1130","1131","1083","1094","731000","1094"
"2017-01-06","1092","1098","1077","1088","675000","1088"
"2017-01-10","1089","1108","1081","1105","721000","1105"
"2017-01-11","1100","1111","1083","1091","640000","1091"
"2017-01-12","1090","1098","1061","1078","684000","1078"
"2017-01-13","1074","1083","1059","1080","346000","1080"
"2017-01-16","1064","1076","1055","1057","264000","1057"
"2017-01-17","1044","1048","1030","1034","359000","1034"
"2017-01-18","1014","1047","987","1044","1280000","1044"
"2017-01-19","1050","1058","1049","1057","530000","1057"
"2017-01-20","1034","1060","1027","1056","571000","1056"
"2017-01-23","1049","1055","1042","1044","540000","1044"
"2017-01-24","1041","1048","1038","1045","679000","1045"
"2017-01-25","1054","1072","1046","1052","809000","1052"
"2017-01-26","1068","1088","1064","1086","461000","1086"
"2017-01-27","1098","1098","1074","1075","413000","1075"
"2017-01-30","1087","1104","1075","1086","854000","1086"
"2017-01-31","1079","1079","1047","1058","801000","1058"
"2017-02-01","1064","1131","1057","1129","1912000","1129"
"2017-02-02","1140","1157","1130","1132","1275000","1132"
"2017-02-03","1137","1147","1118","1140","885000","1140"
"2017-02-06","1156","1165","1144","1156","615000","1156"
"2017-02-07","1145","1188","1141","1174","1022000","1174"
"2017-02-08","1176","1203","1172","1201","918000","1201"
"2017-02-09","1199","1199","1167","1177","1288000","1177"
"2017-02-10","1198","1230","1198","1228","1173000","1228"
"2017-02-13","1246","1256","1212","1217","796000","1217"
"2017-02-14","1225","1230","1208","1210","638000","1210"
"2017-02-15","1222","1239","1208","1213","691000","1213"
"2017-02-16","1213","1219","1204","1218","462000","1218"
"2017-02-17","1209","1209","1181","1190","765000","1190"
"2017-02-20","1196","1196","1172","1178","563000","1178"
"2017-02-21","1174","1175","1159","1172","830000","1172"
"2017-02-22","1180","1188","1148","1158","805000","1158"
"2017-02-23","1153","1155","1130","1138","962000","1138"
"2017-02-24","1140","1154","1132","1147","602000","1147"
"2017-02-27","1123","1142","1122","1139","696000","1139"
"2017-02-28","1139","1170","1139","1157","784000","1157"
"2017-03-01","1161","1186","1153","1184","791000","1184"
"2017-03-02","1202","1215","1178","1183","893000","1183"
