7751 東証1部 キヤノン(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","2900","2945.5","2876.5","2918.5","7417300","2918.5"
"2019-01-07","2980","3028","2972","3020","4562400","3020"
"2019-01-08","3003","3042","2996.5","3021","4387400","3021"
"2019-01-09","3050","3054","3027","3038","3814900","3038"
"2019-01-10","3029","3037","3006","3026","3230700","3026"
"2019-01-11","3047","3065","3039","3059","4172400","3059"
"2019-01-15","3035","3051","3014","3042","4507000","3042"
"2019-01-16","3063","3063","3036","3048","3265800","3048"
"2019-01-17","3047","3065","3030","3034","3066000","3034"
"2019-01-18","3045","3068","3037","3056","2981500","3056"
"2019-01-21","3075","3105","3075","3092","2997000","3092"
"2019-01-22","3102","3105","3061","3070","2384700","3070"
"2019-01-23","3055","3073","3040","3057","2499100","3057"
"2019-01-24","3073","3091","3065","3086","3159600","3086"
"2019-01-25","3097","3131","3097","3130","3991600","3130"
"2019-01-28","3140","3152","3115","3133","2945900","3133"
"2019-01-29","3080","3124","3080","3119","3000900","3119"
"2019-01-30","3134","3145","3120","3134","3626500","3134"
"2019-01-31","3150","3153","3111","3114","5212900","3114"
"2019-02-01","3136","3155","3117","3144","4459800","3144"
"2019-02-04","3144","3188","3140","3173","3101700","3173"
"2019-02-05","3195","3201","3176","3185","2634200","3185"
"2019-02-06","3177","3208","3174","3201","3075800","3201"
"2019-02-07","3202","3215","3170","3185","2564900","3185"
"2019-02-08","3168","3180","3128","3139","3642800","3139"
"2019-02-12","3160","3189","3156","3170","3761100","3170"
"2019-02-13","3205","3210","3173","3201","3988500","3201"
"2019-02-14","3189","3212","3186","3202","3862200","3202"
"2019-02-15","3194","3200","3171","3190","3107000","3190"
"2019-02-18","3210","3216","3189","3198","2645900","3198"
"2019-02-19","3190","3208","3185","3208","2068800","3208"
"2019-02-20","3209","3232","3205","3224","2895500","3224"
"2019-02-21","3215","3225","3192","3219","2679000","3219"
"2019-02-22","3228","3231","3208","3230","2371700","3230"
"2019-02-25","3236","3258","3224","3258","3282600","3258"
"2019-02-26","3275","3277","3236","3246","2183600","3246"
"2019-02-27","3250","3261","3230","3234","3380900","3234"
"2019-02-28","3222","3224","3187","3201","4815400","3201"
"2019-03-01","3196","3207","3161","3178","3325100","3178"
"2019-03-04","3200","3200","3153","3178","2700600","3178"
"2019-03-05","3175","3193","3163","3183","2543000","3183"
"2019-03-06","3193","3206","3177","3198","2761000","3198"
"2019-03-07","3172","3195","3164","3182","2990800","3182"
"2019-03-08","3171","3186","3125","3130","4222200","3130"
"2019-03-11","3134","3160","3126","3158","2170400","3158"
"2019-03-12","3187","3222","3187","3213","3243800","3213"
"2019-03-13","3196","3208","3172","3184","2868200","3184"
"2019-03-14","3208","3223","3183","3183","2338200","3183"
"2019-03-15","3181","3209","3177","3201","3542800","3201"
"2019-03-18","3220","3223","3205","3218","2103000","3218"
"2019-03-19","3210","3212","3187","3206","1842600","3206"
"2019-03-20","3199","3215","3199","3213","1905900","3213"
"2019-03-22","3223","3225","3193","3205","2495100","3205"
"2019-03-25","3165","3165","3113","3140","3123800","3140"
"2019-03-26","3160","3212","3158","3211","4415100","3211"
"2019-03-27","3247","3254","3226","3250","3209000","3250"
"2019-03-28","3220","3221","3186","3212","3144900","3212"
"2019-03-29","3239","3245","3208","3213","2518500","3213"
"2019-04-01","3250","3267","3236","3252","3601600","3252"
"2019-04-02","3284","3285","3246","3253","3275000","3253"
"2019-04-03","3250","3256","3221","3234","3817500","3234"
"2019-04-04","3256","3264","3245","3255","2354100","3255"
"2019-04-05","3250","3275","3247","3270","2191300","3270"
"2019-04-08","3280","3297","3269","3277","2695200","3277"
"2019-04-09","3271","3283","3261","3279","1772300","3279"
"2019-04-10","3260","3261","3232","3237","2242600","3237"
"2019-04-11","3230","3238","3212","3217","1915100","3217"
"2019-04-12","3223","3231","3196","3215","2267700","3215"
"2019-04-15","3260","3264","3241","3258","2571900","3258"
"2019-04-16","3278","3296","3263","3285","2963600","3285"
"2019-04-17","3288","3338","3283","3334","3689700","3334"
"2019-04-18","3252","3255","3195","3202","7065900","3202"
"2019-04-19","3202","3220","3168","3170","2821200","3170"
"2019-04-22","3168","3184","3152","3167","1846700","3167"
"2019-04-23","3153","3172","3146","3172","2527300","3172"
"2019-04-24","3189","3196","3148","3164","2661300","3164"
"2019-04-25","3128","3140","3069","3084","5336700","3084"
"2019-04-26","3078","3094","3058","3089","3893200","3089"
"2019-05-07","3087","3090","3051","3061","4182800","3061"
"2019-05-08","3050","3058","3013","3015","4178400","3015"
"2019-05-09","3015","3022","2987","3002","4889600","3002"
"2019-05-10","3044","3071","3031","3051","5840000","3051"
"2019-05-13","3005","3063","3005","3044","4290800","3044"
"2019-05-14","3000","3042","2997.5","3040","4101900","3040"
"2019-05-15","3066","3078","3049","3078","4450100","3078"
"2019-05-16","3078","3089","3051","3087","5543700","3087"
"2019-05-17","3090","3168","3089","3162","8385100","3162"
"2019-05-20","3196","3208","3175","3197","7052300","3197"
"2019-05-21","3197","3233","3187","3230","7358200","3230"
"2019-05-22","3240","3276","3137","3177","7198200","3177"
"2019-05-23","3172","3201","3156","3192","3238300","3192"
"2019-05-24","3133","3147","3080","3081","5729900","3081"
"2019-05-27","3081","3114","3074","3105","1683800","3105"
"2019-05-28","3095","3120","3089","3100","2341200","3100"
"2019-05-29","3074","3088","3059","3076","2640800","3076"
"2019-05-30","3064","3094","3062","3093","2028100","3093"
"2019-05-31","3069","3090","3063","3065","2975600","3065"
"2019-06-03","3022","3048","3018","3047","2568900","3047"
"2019-06-04","3037","3055","3026","3038","3012500","3038"
"2019-06-05","3085","3099","3069","3091","2271800","3091"
"2019-06-06","3089","3109","3082","3098","1612800","3098"
"2019-06-07","3100","3118","3086","3107","1695000","3107"
"2019-06-10","3113","3132","3107","3110","2700200","3110"
"2019-06-11","3127","3147","3118","3147","2042200","3147"
"2019-06-12","3147","3173","3142","3142","2708800","3142"
"2019-06-13","3120","3135","3115","3131","2310100","3131"
"2019-06-14","3134","3149","3119","3147","2607400","3147"
"2019-06-17","3152","3172","3148","3149","2278700","3149"
"2019-06-18","3149","3162","3127","3145","2739100","3145"
"2019-06-19","3174","3183","3162","3180","2640800","3180"
"2019-06-20","3196","3209","3188","3193","2008700","3193"
"2019-06-21","3209","3226","3197","3215","5895000","3215"
"2019-06-24","3197","3238","3197","3236","2998300","3236"
"2019-06-25","3240","3256","3222","3229","5297800","3229"
"2019-06-26","3173","3174","3140","3145","4094400","3145"
"2019-06-27","3150","3172","3146","3172","2746500","3172"
"2019-06-28","3150","3172","3131","3146","2738200","3146"
"2019-07-01","3170","3186","3162","3183","2665400","3183"
"2019-07-02","3193","3208","3191","3200","2543800","3200"
"2019-07-03","3190","3192","3164","3184","2101400","3184"
"2019-07-04","3190","3203","3189","3198","1259100","3198"
"2019-07-05","3189","3191","3174","3189","1745600","3189"
"2019-07-08","3189","3204","3182","3184","1921300","3184"
"2019-07-09","3185","3188","3161","3172","1739200","3172"
"2019-07-10","3166","3200","3161","3193","2777100","3193"
"2019-07-11","3193","3224","3185","3217","2537000","3217"
"2019-07-12","3232","3234","3211","3215","1628500","3215"
"2019-07-16","3215","3220","3177","3184","1966800","3184"
"2019-07-17","3169","3185","3154","3163","1952000","3163"
"2019-07-18","3070","3079","3030","3036","6195200","3036"
"2019-07-19","3052","3096","3048","3092","3131400","3092"
"2019-07-22","3069","3073","3052","3054","2212800","3054"
"2019-07-23","3055","3109","3046","3100","2221600","3100"
"2019-07-24","3126","3131","3107","3123","2479000","3123"
"2019-07-25","3085","3115","3028","3036","4828700","3036"
"2019-07-26","3030","3081","3021","3060","2795900","3060"
"2019-07-29","3035","3049","3026","3036","2014500","3036"
"2019-07-30","3030","3046","3000","3010","2911800","3010"
"2019-07-31","2998","2998","2970.5","2970.5","4405600","2970.5"
"2019-08-01","2962.5","3003","2957.5","2997","2368800","2997"
"2019-08-02","2953","2966.5","2931","2936.5","4621400","2936.5"
"2019-08-05","2903","2905.5","2843.5","2864","5108800","2864"
"2019-08-06","2800","2880","2790","2867.5","4392700","2867.5"
"2019-08-07","2845.5","2876","2838.5","2865.5","2857100","2865.5"
"2019-08-08","2853","2866.5","2841","2856","2404200","2856"
"2019-08-09","2873","2873.5","2847.5","2867","2375300","2867"
"2019-08-13","2824.5","2826","2778","2781","5025500","2781"
"2019-08-14","2821","2822.5","2791.5","2801","2767500","2801"
"2019-08-15","2735.5","2756.5","2727","2744.5","4252900","2744.5"
"2019-08-16","2729","2770","2723","2748","2640600","2748"
"2019-08-19","2768.5","2768.5","2705","2754.5","3273700","2754.5"
"2019-08-20","2761.5","2770","2755.5","2766.5","2020200","2766.5"
"2019-08-21","2745","2745","2725.5","2729.5","2532000","2729.5"
"2019-08-22","2749","2758.5","2742.5","2750","2366400","2750"
"2019-08-23","2745","2764.5","2738","2761","2574300","2761"
"2019-08-26","2705","2709.5","2687.5","2697","3947000","2697"
"2019-08-27","2729","2748","2725","2745.5","2489900","2745.5"
"2019-08-28","2741","2745.5","2729","2738.5","2187600","2738.5"
"2019-08-29","2730","2737.5","2715","2730","2216700","2730"
"2019-08-30","2760","2765.5","2746","2761","3505800","2761"
"2019-09-02","2760","2774","2756.5","2760.5","1500300","2760.5"
"2019-09-03","2750","2768.5","2742.5","2761","1840700","2761"
"2019-09-04","2744","2750","2731","2739.5","2336600","2739.5"
"2019-09-05","2760.5","2799","2758","2783","3907800","2783"
"2019-09-06","2785.5","2806","2781.5","2792","2684700","2792"
"2019-09-10","2820","2858","2818.5","2858","3240800","2858"
"2019-09-11","2880","2908.5","2863.5","2907","3780200","2907"
"2019-09-12","2940","2947.5","2910.5","2935","3767000","2935"
"2019-09-13","2943","2953","2909","2949","5836000","2949"
"2019-09-17","2945","2950","2927","2945","3251700","2945"
"2019-09-18","2943","2945.5","2903","2923","2976500","2923"
"2019-09-19","2938","2956","2925.5","2928.5","2819500","2928.5"
"2019-09-20","2941.5","2951","2919.5","2934.5","4449900","2934.5"
"2019-09-24","2910","2916","2864","2869","5574600","2869"
