7762 東証1部 シチズンホールディングス(株)（精密機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2016-01-04","867","876","851","855","1715000","855"
"2016-01-05","856","868","854","861","1642600","861"
"2016-01-06","875","878","851","857","2248200","857"
"2016-01-07","851","859","836","837","2132200","837"
"2016-01-08","824","836","816","821","3892600","821"
"2016-01-12","811","817","797","800","2405100","800"
"2016-01-13","806","830","803","823","2226200","823"
"2016-01-14","794","815","784","806","2643200","806"
"2016-01-15","821","827","791","796","1766600","796"
"2016-01-18","777","787","769","781","1558900","781"
"2016-01-19","777","793","777","786","1828200","786"
"2016-01-20","784","789","750","752","2993000","752"
"2016-01-21","751","766","731","731","2425800","731"
"2016-01-22","747","760","734","757","3277400","757"
"2016-01-25","765","766","748","753","1991000","753"
"2016-01-26","741","747","733","743","2067900","743"
"2016-01-27","740","743","715","727","5012300","727"
"2016-01-28","728","732","720","722","2663100","722"
"2016-01-29","724","730","696","727","5061900","727"
"2016-02-01","742","748","738","742","2910100","742"
"2016-02-02","741","748","732","737","2362600","737"
"2016-02-03","724","726","703","713","3031000","713"
"2016-02-04","698","706","687","698","3322400","698"
"2016-02-05","688","698","684","694","2987400","694"
"2016-02-08","692","716","688","709","3084600","709"
"2016-02-09","684","685","673","675","3763200","675"
"2016-02-10","671","690","656","665","4231900","665"
"2016-02-12","655","663","623","626","4274800","626"
"2016-02-15","635","657","600","649","4880300","649"
"2016-02-16","635","670","634","655","4303400","655"
"2016-02-17","655","664","628","636","4489800","636"
"2016-02-18","653","664","647","655","3111600","655"
"2016-02-19","649","653","621","629","3070800","629"
"2016-02-22","619","627","612","626","3163800","626"
"2016-02-23","630","644","623","628","3302800","628"
"2016-02-24","620","623","606","617","3160800","617"
"2016-02-25","616","620","610","615","3598400","615"
"2016-02-26","623","637","623","624","2545900","624"
"2016-02-29","624","634","618","620","3182100","620"
"2016-03-01","620","626","592","607","4195800","607"
"2016-03-02","624","629","621","628","3067200","628"
"2016-03-03","621","636","619","633","2244100","633"
"2016-03-04","629","642","629","639","3444700","639"
"2016-03-07","643","655","641","648","3872400","648"
"2016-03-08","643","649","619","635","3683800","635"
"2016-03-09","627","634","615","630","3269600","630"
"2016-03-10","637","648","634","644","2075500","644"
"2016-03-11","644","657","641","650","5145600","650"
"2016-03-14","660","672","659","669","1921300","669"
"2016-03-15","670","674","651","658","2780600","658"
"2016-03-16","652","659","642","644","2159700","644"
"2016-03-17","648","657","633","641","2803700","641"
"2016-03-18","640","644","626","631","2325800","631"
"2016-03-22","648","656","637","644","1901900","644"
"2016-03-23","640","651","634","634","2358600","634"
"2016-03-24","639","645","636","637","2710200","637"
"2016-03-25","647","656","643","654","2053200","654"
"2016-03-28","659","664","656","660","2276000","660"
"2016-03-29","653","663","648","661","2382200","661"
"2016-03-30","661","668","639","641","2232000","641"
"2016-03-31","653","656","638","638","2162100","638"
"2016-04-01","635","637","592","594","4737500","594"
"2016-04-04","596","604","583","586","3014200","586"
"2016-04-05","585","588","576","582","3936600","582"
"2016-04-06","580","588","577","581","2763100","581"
"2016-04-07","580","598","577","590","4790300","590"
"2016-04-08","590","612","583","604","4624200","604"
"2016-04-11","594","600","580","597","3198000","597"
"2016-04-12","598","620","598","619","2965200","619"
"2016-04-13","637","644","631","636","3172700","636"
"2016-04-14","647","669","645","669","3259400","669"
"2016-04-15","667","677","659","668","3527100","668"
"2016-04-18","650","654","641","645","2934300","645"
"2016-04-19","665","672","661","672","2309800","672"
"2016-04-20","675","682","660","662","2610300","662"
"2016-04-21","682","682","670","673","2508000","673"
"2016-04-22","667","672","660","670","3843100","670"
"2016-04-25","673","680","661","667","3008900","667"
"2016-04-26","664","667","653","659","1782000","659"
"2016-04-27","666","671","647","650","2441500","650"
"2016-04-28","649","658","622","624","3283800","624"
"2016-05-02","612","619","606","609","3635700","609"
"2016-05-06","609","610","596","599","3057700","599"
"2016-05-09","602","611","597","608","2471400","608"
"2016-05-10","617","634","613","632","3798100","632"
"2016-05-11","636","645","632","633","2736700","633"
"2016-05-12","625","647","617","647","3820900","647"
"2016-05-13","657","657","629","631","4862400","631"
"2016-05-16","606","651","606","640","4027700","640"
"2016-05-17","650","653","640","651","3177400","651"
"2016-05-18","646","651","629","635","3258100","635"
"2016-05-19","630","633","610","616","4230900","616"
"2016-05-20","608","612","601","609","3500800","609"
"2016-05-23","611","611","599","608","2569300","608"
"2016-05-24","605","605","588","589","4153900","589"
"2016-05-25","599","601","585","587","3662900","587"
"2016-05-26","595","597","587","590","4506700","590"
"2016-05-27","596","604","589","601","3678900","601"
"2016-05-30","606","611","603","611","2468300","611"
"2016-05-31","605","628","605","621","23736200","621"
"2016-06-01","610","634","603","622","5876300","622"
"2016-06-02","615","622","609","611","3963900","611"
"2016-06-03","601","607","592","597","3173500","597"
"2016-06-06","587","593","582","592","3265300","592"
"2016-06-07","587","592","587","591","2851400","591"
"2016-06-08","587","590","579","584","3858800","584"
"2016-06-09","582","582","565","569","4118700","569"
"2016-06-10","572","573","566","570","3816300","570"
"2016-06-13","563","563","550","550","3456300","550"
"2016-06-14","547","549","537","544","4079700","544"
"2016-06-15","545","558","539","551","3214100","551"
"2016-06-16","552","552","534","535","4302200","535"
"2016-06-17","541","550","541","545","4299900","545"
"2016-06-20","551","561","551","557","2725600","557"
"2016-06-21","554","565","543","562","1992300","562"
"2016-06-22","557","558","550","551","2077200","551"
"2016-06-23","547","552","542","550","3096300","550"
"2016-06-24","552","557","481","487","5742600","487"
"2016-06-27","495","500","484","492","2359400","492"
"2016-06-28","488","494","474","488","3055000","488"
"2016-06-29","489","503","479","496","2511200","496"
"2016-06-30","501","509","496","496","2637100","496"
"2016-07-01","503","510","500","503","2284700","503"
"2016-07-04","494","507","489","504","2654400","504"
"2016-07-05","502","507","498","501","1670900","501"
"2016-07-06","496","500","485","488","3459400","488"
"2016-07-07","488","497","483","485","3687500","485"
"2016-07-08","487","498","482","482","3917900","482"
"2016-07-11","494","514","493","511","2403200","511"
"2016-07-12","521","535","517","528","3258900","528"
