7971 東証1部 東リ(株)（化学）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","374","379","372","377","66600","377"
"2017-01-05","379","379","376","379","49600","379"
"2017-01-06","377","382","375","381","80000","381"
"2017-01-10","392","411","391","404","447800","404"
"2017-01-11","410","425","406","420","300300","420"
"2017-01-12","420","428","416","419","195800","419"
"2017-01-13","415","420","412","418","105800","418"
"2017-01-16","418","420","412","416","91500","416"
"2017-01-17","410","411","398","404","130300","404"
"2017-01-18","400","405","394","404","77800","404"
"2017-01-19","404","407","399","403","58100","403"
"2017-01-20","400","407","400","404","74700","404"
"2017-01-23","400","405","388","403","102500","403"
"2017-01-24","404","404","398","403","79600","403"
"2017-01-25","406","410","401","402","64800","402"
"2017-01-26","404","405","399","401","98600","401"
"2017-01-27","404","405","399","402","68400","402"
"2017-01-30","399","402","396","401","73200","401"
"2017-01-31","398","405","394","398","97400","398"
"2017-02-01","396","401","394","400","63100","400"
"2017-02-02","400","400","397","398","72000","398"
"2017-02-03","399","401","398","398","38200","398"
"2017-02-06","401","402","396","398","66200","398"
"2017-02-07","396","397","394","395","42500","395"
"2017-02-08","398","400","393","399","130300","399"
"2017-02-09","395","396","391","393","140900","393"
"2017-02-10","398","398","393","396","90500","396"
"2017-02-13","396","398","393","396","102700","396"
"2017-02-14","397","401","397","398","117500","398"
"2017-02-15","402","404","398","402","112300","402"
"2017-02-16","402","408","400","404","145100","404"
"2017-02-17","404","409","402","409","135700","409"
"2017-02-20","409","413","406","413","133900","413"
"2017-02-21","416","421","416","421","108300","421"
"2017-02-22","424","426","420","420","128400","420"
"2017-02-23","420","424","418","421","91900","421"
"2017-02-24","420","420","418","419","94600","419"
"2017-02-27","414","416","408","411","95300","411"
"2017-02-28","411","417","410","412","145100","412"
"2017-03-01","412","416","411","415","56000","415"
"2017-03-02","418","418","415","416","61500","416"
"2017-03-03","415","415","412","413","113700","413"
"2017-03-06","415","418","415","417","63400","417"
"2017-03-07","419","419","416","418","77700","418"
"2017-03-08","420","421","416","419","89300","419"
"2017-03-09","420","420","415","417","37400","417"
"2017-03-10","418","421","415","420","121000","420"
"2017-03-13","422","422","417","417","33900","417"
"2017-03-14","418","418","415","418","51100","418"
"2017-03-15","417","417","410","412","133500","412"
"2017-03-16","408","408","401","408","126400","408"
"2017-03-17","408","414","408","414","105200","414"
"2017-03-21","411","415","406","414","68800","414"
"2017-03-22","406","407","403","406","80800","406"
"2017-03-23","404","405","401","403","42500","403"
"2017-03-24","404","406","400","401","84000","401"
"2017-03-27","402","402","393","394","109400","394"
"2017-03-28","395","400","393","400","111300","400"
"2017-03-29","397","397","391","393","77800","393"
"2017-03-30","390","393","387","390","63800","390"
"2017-03-31","390","391","379","379","93300","379"
"2017-04-03","380","386","377","383","70300","383"
"2017-04-04","383","384","377","381","81900","381"
"2017-04-05","384","384","378","380","72200","380"
"2017-04-06","380","380","371","372","73700","372"
"2017-04-07","370","376","370","370","64500","370"
"2017-04-10","374","376","358","372","59900","372"
"2017-04-11","370","371","368","370","51800","370"
"2017-04-12","367","367","361","364","54000","364"
"2017-04-13","358","365","354","362","84200","362"
"2017-04-14","360","361","356","357","66600","357"
"2017-04-17","360","363","354","359","58400","359"
"2017-04-18","365","367","356","358","110900","358"
"2017-04-19","359","359","353","353","51000","353"
"2017-04-20","352","359","352","357","38300","357"
"2017-04-21","357","359","355","358","58300","358"
"2017-04-24","359","362","356","356","102100","356"
"2017-04-25","360","377","360","374","105600","374"
"2017-04-26","382","382","375","377","119200","377"
"2017-04-27","371","376","371","373","65000","373"
"2017-04-28","374","374","369","371","69800","371"
"2017-05-01","372","374","370","370","78300","370"
"2017-05-02","370","373","367","371","156700","371"
"2017-05-08","385","396","380","396","180300","396"
"2017-05-09","397","397","387","388","178800","388"
"2017-05-10","373","387","372","372","270000","372"
"2017-05-11","373","374","370","373","167200","373"
"2017-05-12","372","372","370","372","45100","372"
"2017-05-15","368","374","366","372","100100","372"
"2017-05-16","375","376","372","374","104600","374"
"2017-05-17","374","374","369","370","67100","370"
"2017-05-18","366","368","364","365","66400","365"
"2017-05-19","366","366","361","363","92500","363"
"2017-05-22","364","367","361","363","158800","363"
"2017-05-23","366","367","364","365","90400","365"
"2017-05-24","372","372","363","364","147400","364"
"2017-05-25","364","366","359","360","120700","360"
"2017-05-26","360","360","354","355","103900","355"
"2017-05-29","358","358","349","351","98200","351"
"2017-05-30","351","355","349","354","41800","354"
"2017-05-31","352","357","350","351","72000","351"
"2017-06-01","354","357","353","355","70500","355"
"2017-06-02","357","362","356","362","67900","362"
"2017-06-05","361","362","357","360","42400","360"
"2017-06-06","363","367","360","361","116800","361"
"2017-06-07","359","366","359","363","56500","363"
"2017-06-08","363","369","362","365","69300","365"
"2017-06-09","365","371","365","367","92600","367"
"2017-06-12","370","374","367","370","61000","370"
"2017-06-13","372","376","370","374","74700","374"
"2017-06-14","374","375","373","373","55600","373"
"2017-06-15","376","377","372","376","82200","376"
"2017-06-16","374","378","368","369","100400","369"
"2017-06-19","367","381","367","375","258100","375"
"2017-06-20","375","380","371","379","98400","379"
"2017-06-21","379","386","377","384","137700","384"
"2017-06-22","386","386","370","382","83400","382"
"2017-06-23","374","392","374","389","183400","389"
"2017-06-26","389","389","385","385","44000","385"
"2017-06-27","389","391","383","384","46100","384"
"2017-06-28","384","385","377","378","70800","378"
"2017-06-29","378","381","378","379","38700","379"
"2017-06-30","378","378","372","374","49300","374"
"2017-07-03","373","378","371","372","61600","372"
"2017-07-04","373","374","368","368","71300","368"
"2017-07-05","365","372","364","368","71900","368"
"2017-07-06","369","370","367","368","26500","368"
"2017-07-07","368","370","362","362","48500","362"
"2017-07-10","363","367","363","364","35800","364"
"2017-07-11","367","371","366","368","44000","368"
"2017-07-12","366","369","366","366","40400","366"
"2017-07-13","367","368","365","366","34800","366"
"2017-07-14","366","369","364","367","50400","367"
"2017-07-18","368","369","364","369","84600","369"
"2017-07-19","371","374","368","371","67200","371"
"2017-07-20","374","380","374","378","91600","378"
"2017-07-21","378","382","376","379","75600","379"
"2017-07-24","379","380","373","377","90700","377"
"2017-07-25","374","376","373","374","34800","374"
"2017-07-26","376","376","368","368","76100","368"
"2017-07-27","368","372","365","367","65700","367"
"2017-07-28","371","371","367","370","46000","370"
"2017-07-31","368","369","353","359","241800","359"
"2017-08-01","359","366","359","365","59400","365"
"2017-08-02","366","367","363","365","73000","365"
"2017-08-03","366","367","365","367","37000","367"
"2017-08-04","366","370","366","367","28600","367"
"2017-08-07","369","375","369","374","72200","374"
"2017-08-08","372","375","370","372","48800","372"
"2017-08-09","369","370","363","365","60500","365"
"2017-08-10","365","368","363","368","55300","368"
"2017-08-14","368","370","361","363","73200","363"
"2017-08-15","370","372","366","368","50700","368"
"2017-08-16","370","371","367","369","33200","369"
"2017-08-17","371","374","369","373","55600","373"
"2017-08-18","370","371","366","368","40800","368"
"2017-08-21","372","374","370","374","32000","374"
"2017-08-22","374","374","368","370","30300","370"
"2017-08-23","374","374","370","373","58200","373"
"2017-08-24","373","376","362","375","58700","375"
"2017-08-25","372","376","372","375","49000","375"
"2017-08-28","376","380","376","380","74100","380"
"2017-08-29","378","385","378","385","81300","385"
"2017-08-30","385","389","383","389","86800","389"
"2017-08-31","390","393","386","387","43100","387"
"2017-09-01","386","392","384","392","46800","392"
"2017-09-04","392","393","378","379","65000","379"
"2017-09-05","380","386","374","377","73400","377"
"2017-09-06","372","379","372","374","47900","374"
"2017-09-07","380","385","379","384","42100","384"
"2017-09-08","384","389","382","383","82700","383"
"2017-09-11","390","395","388","392","62300","392"
"2017-09-12","396","404","394","402","124800","402"
"2017-09-13","404","404","399","399","39600","399"
"2017-09-14","400","402","397","399","42600","399"
"2017-09-15","396","402","396","398","83200","398"
"2017-09-19","401","404","400","403","64500","403"
"2017-09-20","403","404","398","401","71300","401"
"2017-09-21","401","404","398","400","48600","400"
"2017-09-22","402","402","396","398","66400","398"
"2017-09-25","398","403","397","401","57400","401"
"2017-09-26","398","402","398","400","83700","400"
"2017-09-27","400","400","396","398","36500","398"
"2017-09-28","395","398","395","398","72500","398"
"2017-09-29","397","400","395","398","25100","398"
"2017-10-02","400","401","397","397","35800","397"
"2017-10-03","398","400","395","397","33600","397"
"2017-10-04","397","397","392","395","34400","395"
"2017-10-05","395","395","385","388","37600","388"
"2017-10-06","385","388","381","385","92700","385"
"2017-10-10","388","393","385","392","49200","392"
"2017-10-11","395","400","389","395","90400","395"
"2017-10-12","397","399","396","396","48900","396"
"2017-10-13","393","400","393","396","64200","396"
"2017-10-16","396","401","394","399","79200","399"
