8053 東証1部 住友商事(株)（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","1521.5","1548","1500.5","1541","4510100","1541"
"2019-01-07","1591","1596","1580","1584","3492700","1584"
"2019-01-08","1580.5","1595.5","1561","1578","4181800","1578"
"2019-01-09","1586","1602","1579","1602","2869100","1602"
"2019-01-10","1596.5","1606","1586.5","1602","2759200","1602"
"2019-01-11","1609","1615","1598","1609","3117900","1609"
"2019-01-15","1608.5","1623.5","1596","1620","2935100","1620"
"2019-01-16","1625.5","1626","1607","1618","2669600","1618"
"2019-01-17","1618","1630","1614","1630","2697100","1630"
"2019-01-18","1639.5","1653","1634.5","1645","2739700","1645"
"2019-01-21","1671.5","1698.5","1669.5","1693","3275100","1693"
"2019-01-22","1689","1694","1670","1673","2313200","1673"
"2019-01-23","1655","1673.5","1651","1663","2401100","1663"
"2019-01-24","1640","1657","1632.5","1648.5","4019800","1648.5"
"2019-01-25","1648.5","1673","1648.5","1673","3171500","1673"
"2019-01-28","1671.5","1674.5","1661","1664.5","2431100","1664.5"
"2019-01-29","1659.5","1671","1648.5","1661.5","2898500","1661.5"
"2019-01-30","1668","1672","1658","1663","2949300","1663"
"2019-01-31","1692","1694.5","1670.5","1681.5","3154700","1681.5"
"2019-02-01","1673","1679","1658.5","1661","2884100","1661"
"2019-02-04","1673.5","1687.5","1671.5","1684.5","2307700","1684.5"
"2019-02-05","1695","1708","1682.5","1696","3239600","1696"
"2019-02-06","1706","1709","1670.5","1671.5","4617200","1671.5"
"2019-02-07","1654","1665","1613","1622.5","5673000","1622.5"
"2019-02-08","1595","1597","1546","1552.5","6319000","1552.5"
"2019-02-12","1553","1580.5","1545.5","1574","4174900","1574"
"2019-02-13","1593.5","1603","1583","1601","3110000","1601"
"2019-02-14","1610","1624.5","1602.5","1608","4075100","1608"
"2019-02-15","1596","1606.5","1591.5","1602.5","2325800","1602.5"
"2019-02-18","1629.5","1637","1623.5","1627.5","3009800","1627.5"
"2019-02-19","1623","1632","1615.5","1629.5","1903800","1629.5"
"2019-02-20","1638","1656.5","1637","1655","3358300","1655"
"2019-02-21","1651.5","1651.5","1636","1640.5","3863400","1640.5"
"2019-02-22","1606","1627.5","1595.5","1625","3147300","1625"
"2019-02-25","1635","1636","1623","1631","2076900","1631"
"2019-02-26","1629","1634.5","1615.5","1622","2538700","1622"
"2019-02-27","1616","1625","1614","1617.5","3387600","1617.5"
"2019-02-28","1610","1613.5","1599.5","1600.5","4554000","1600.5"
"2019-03-01","1600.5","1604.5","1592","1600.5","3332300","1600.5"
"2019-03-04","1611.5","1614","1597.5","1603.5","2592100","1603.5"
"2019-03-05","1596.5","1602","1592","1594.5","4007600","1594.5"
"2019-03-06","1596","1603","1591","1592","3185600","1592"
"2019-03-07","1587","1592.5","1573","1573","4464100","1573"
"2019-03-08","1570","1573.5","1550","1550.5","5475700","1550.5"
"2019-03-11","1550.5","1567","1546.5","1562","2633500","1562"
"2019-03-12","1583.5","1598.5","1579.5","1585","4266700","1585"
"2019-03-13","1578.5","1584","1563.5","1570","4400500","1570"
"2019-03-14","1579.5","1586.5","1572.5","1578","3546500","1578"
"2019-03-15","1578.5","1595","1576","1587","4182000","1587"
"2019-03-18","1598","1598","1585","1591.5","2760600","1591.5"
"2019-03-19","1596.5","1598","1587.5","1593","3026400","1593"
"2019-03-20","1594","1608","1592","1606","3281800","1606"
"2019-03-22","1613.5","1616.5","1597","1616.5","4555000","1616.5"
"2019-03-25","1584","1584","1560.5","1571","6173800","1571"
"2019-03-26","1581.5","1601.5","1571.5","1601.5","8520300","1601.5"
"2019-03-27","1564","1566.5","1546.5","1556.5","5029600","1556.5"
"2019-03-28","1547","1549.5","1518","1518","4203200","1518"
"2019-03-29","1536.5","1538.5","1523","1531","3446100","1531"
"2019-04-01","1553","1579.5","1551","1572","4925100","1572"
"2019-04-02","1588.5","1600","1577","1577","4750600","1577"
"2019-04-03","1574.5","1589.5","1571","1587.5","4296000","1587.5"
"2019-04-04","1584","1598","1579.5","1586.5","2935700","1586.5"
"2019-04-05","1585","1603.5","1583.5","1602","3392400","1602"
"2019-04-08","1608","1611","1593","1595.5","2392500","1595.5"
"2019-04-09","1590","1602.5","1588","1601.5","3007300","1601.5"
"2019-04-10","1577","1584.5","1571","1579","2290500","1579"
"2019-04-11","1571","1581","1567","1573.5","3442000","1573.5"
"2019-04-12","1580","1583.5","1568","1575.5","2694400","1575.5"
"2019-04-15","1596","1607","1592.5","1600","2991900","1600"
"2019-04-16","1595","1597.5","1585","1587.5","3624300","1587.5"
"2019-04-17","1594.5","1608.5","1589","1595.5","3706200","1595.5"
"2019-04-18","1600.5","1613.5","1598.5","1602.5","3998500","1602.5"
"2019-04-19","1614.5","1617.5","1601.5","1603.5","2580900","1603.5"
"2019-04-22","1599.5","1608.5","1595.5","1606.5","1669900","1606.5"
"2019-04-23","1605.5","1614","1600.5","1611","3121900","1611"
"2019-04-24","1620","1624","1584","1587","3374000","1587"
"2019-04-25","1591","1598","1582.5","1593.5","2042600","1593.5"
"2019-04-26","1585","1592","1573.5","1589.5","3232100","1589.5"
"2019-05-07","1590","1592","1537.5","1541.5","5997000","1541.5"
"2019-05-08","1526","1531.5","1508.5","1516.5","4500400","1516.5"
"2019-05-09","1502.5","1611","1480","1568","11405500","1568"
"2019-05-10","1550.5","1585.5","1548","1580.5","6770500","1580.5"
"2019-05-13","1567.5","1579","1556.5","1567","3669900","1567"
"2019-05-14","1545","1570","1535.5","1568","4383500","1568"
"2019-05-15","1567.5","1589.5","1556","1588","4139800","1588"
"2019-05-16","1580.5","1585.5","1569","1584","3101300","1584"
"2019-05-17","1596.5","1617","1586","1611","4197400","1611"
"2019-05-20","1618","1623.5","1609.5","1615.5","2381600","1615.5"
"2019-05-21","1607.5","1617.5","1599","1606","2518900","1606"
"2019-05-22","1615.5","1624.5","1610.5","1621","2860900","1621"
"2019-05-23","1604.5","1609.5","1586.5","1592.5","3938800","1592.5"
"2019-05-24","1576.5","1585","1551","1580","3541100","1580"
"2019-05-27","1583.5","1590","1575","1578.5","1751300","1578.5"
"2019-05-28","1574.5","1582","1570.5","1578","6982600","1578"
"2019-05-29","1566.5","1568","1552.5","1562","3471400","1562"
"2019-05-30","1550","1583","1549","1581.5","2823000","1581.5"
"2019-05-31","1571","1586.5","1563","1568.5","3770200","1568.5"
"2019-06-03","1545","1561","1543.5","1561","3033900","1561"
"2019-06-04","1567.5","1581.5","1560","1581","3332700","1581"
"2019-06-05","1603.5","1606","1595","1605","3476300","1605"
"2019-06-06","1610","1614","1602.5","1603.5","2975300","1603.5"
"2019-06-07","1610","1614","1605","1611","2669100","1611"
"2019-06-10","1614","1621.5","1603.5","1615","4267800","1615"
"2019-06-11","1615","1633","1610","1622","3399900","1622"
"2019-06-12","1630","1646","1620","1622.5","4679600","1622.5"
"2019-06-13","1611","1614.5","1593","1604.5","4508200","1604.5"
"2019-06-14","1608","1614","1596","1606","3472600","1606"
"2019-06-17","1599","1609","1598.5","1601.5","3302100","1601.5"
"2019-06-18","1605.5","1614.5","1593.5","1599","3487700","1599"
"2019-06-19","1615.5","1642.5","1615","1636","4156300","1636"
"2019-06-20","1623.5","1627","1604.5","1619.5","4801800","1619.5"
"2019-06-21","1622","1629","1604","1609.5","8942800","1609.5"
"2019-06-24","1610","1620","1605","1613","2654800","1613"
"2019-06-25","1613","1620.5","1607.5","1611.5","3862700","1611.5"
"2019-06-26","1614.5","1616","1605","1615.5","3617500","1615.5"
"2019-06-27","1621.5","1631","1618","1631","3540200","1631"
"2019-06-28","1625.5","1635.5","1624.5","1632.5","3944500","1632.5"
"2019-07-01","1650","1661","1646.5","1660","4304500","1660"
"2019-07-02","1665","1684","1655","1678.5","4190000","1678.5"
"2019-07-03","1669.5","1671","1647.5","1652.5","3454100","1652.5"
"2019-07-04","1664","1666.5","1649.5","1652.5","2498400","1652.5"
"2019-07-05","1651","1652.5","1642.5","1646.5","2601600","1646.5"
"2019-07-08","1644.5","1646.5","1637","1638.5","2715200","1638.5"
"2019-07-09","1648.5","1654.5","1637","1643","2668100","1643"
"2019-07-10","1638","1644.5","1636","1638.5","2843400","1638.5"
"2019-07-11","1642","1652.5","1638.5","1646.5","2871200","1646.5"
"2019-07-12","1657.5","1659","1650","1655.5","2583300","1655.5"
"2019-07-16","1655.5","1661.5","1649","1657.5","3052800","1657.5"
"2019-07-17","1660.5","1671.5","1655","1658","2905800","1658"
"2019-07-18","1640","1642.5","1612.5","1615.5","4839500","1615.5"
"2019-07-19","1618.5","1639.5","1617","1639.5","3943400","1639.5"
"2019-07-22","1644.5","1652","1632","1635.5","2669000","1635.5"
"2019-07-23","1639","1649.5","1629","1645","2097900","1645"
"2019-07-24","1649","1653","1634","1636","2964700","1636"
"2019-07-25","1636.5","1638.5","1628.5","1628.5","2629500","1628.5"
"2019-07-26","1618","1627","1614","1619","2657500","1619"
"2019-07-29","1619","1621","1610","1620.5","2288500","1620.5"
"2019-07-30","1625.5","1633.5","1617","1626.5","2581500","1626.5"
"2019-07-31","1616.5","1631.5","1614","1623.5","2927400","1623.5"
"2019-08-01","1606.5","1631","1605","1619","3258700","1619"
"2019-08-02","1601","1601.5","1569","1572","7669300","1572"
"2019-08-05","1551.5","1551.5","1518","1526","6799500","1526"
"2019-08-06","1486","1541","1478","1539","5991200","1539"
"2019-08-07","1539","1540.5","1531.5","1537","3813500","1537"
"2019-08-08","1530.5","1535","1523","1531","3341800","1531"
"2019-08-09","1551","1551","1526.5","1541.5","4199800","1541.5"
"2019-08-13","1524.5","1526","1505.5","1513.5","4872700","1513.5"
"2019-08-14","1533","1547","1529","1546.5","3714500","1546.5"
"2019-08-15","1506.5","1535","1504","1533.5","4391000","1533.5"
"2019-08-16","1523","1534","1513.5","1532","3364200","1532"
"2019-08-19","1546","1557.5","1535","1552","3176400","1552"
"2019-08-20","1552","1552.5","1542","1551","2798800","1551"
"2019-08-21","1540","1561","1539","1560.5","2742200","1560.5"
"2019-08-22","1567","1570.5","1557","1569","3608800","1569"
"2019-08-23","1556.5","1573","1555","1565","3082900","1565"
"2019-08-26","1528","1551","1525","1543.5","3939500","1543.5"
"2019-08-27","1555.5","1558","1547","1555","5313700","1555"
"2019-08-28","1564","1568","1556.5","1560","2846700","1560"
"2019-08-29","1561.5","1564.5","1552","1556.5","2985400","1556.5"
"2019-08-30","1567","1598.5","1565.5","1592.5","4930900","1592.5"
"2019-09-02","1584","1598.5","1581.5","1592.5","2262700","1592.5"
"2019-09-03","1595","1620.5","1593.5","1617.5","3171100","1617.5"
"2019-09-04","1610.5","1616.5","1603.5","1608.5","3217300","1608.5"
"2019-09-05","1616.5","1636","1611.5","1625","5991200","1625"
"2019-09-06","1637","1659","1634.5","1655.5","5517800","1655.5"
"2019-09-10","1680.5","1712","1679.5","1711","5985600","1711"
"2019-09-11","1723.5","1755.5","1722","1755.5","6417200","1755.5"
"2019-09-12","1758","1762","1747.5","1749","5762300","1749"
"2019-09-13","1747","1764","1735","1759","7038600","1759"
"2019-09-17","1759","1792.5","1758","1777.5","4812600","1777.5"
"2019-09-18","1778.5","1785","1764","1773","4247900","1773"
"2019-09-19","1770.5","1785.5","1753","1755.5","5792100","1755.5"
"2019-09-20","1773","1784","1770","1781.5","4935000","1781.5"
