8058 東証1部 三菱商事(株)（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","2964","3034","2948","3030","4718900","3030"
"2019-01-07","3114","3141","3101","3112","4460000","3112"
"2019-01-08","3108","3129","3082","3091","5144400","3091"
"2019-01-09","3130","3130","3099","3108","3259000","3108"
"2019-01-10","3102","3112","3061","3088","4691100","3088"
"2019-01-11","3115","3129","3076","3091","4069900","3091"
"2019-01-15","3077","3127","3055","3121","3463500","3121"
"2019-01-16","3111","3111","3076","3102","2948000","3102"
"2019-01-17","3095","3106","3081","3089","3297900","3089"
"2019-01-18","3100","3125","3093","3103","3231900","3103"
"2019-01-21","3135","3161","3125","3158","3629200","3158"
"2019-01-22","3163","3163","3118","3126","2232700","3126"
"2019-01-23","3098","3129","3090","3106","2808000","3106"
"2019-01-24","3077","3118","3059","3095","2943300","3095"
"2019-01-25","3090","3130","3090","3124","2294500","3124"
"2019-01-28","3124","3128","3103","3108","2126500","3108"
"2019-01-29","3100","3130","3093","3112","2498200","3112"
"2019-01-30","3112","3162","3105","3142","3965900","3142"
"2019-01-31","3180","3200","3165","3181","3874100","3181"
"2019-02-01","3164","3164","3100","3111","6353700","3111"
"2019-02-04","3121","3150","3117","3126","3449000","3126"
"2019-02-05","3170","3193","3114","3152","5891200","3152"
"2019-02-06","3195","3225","3172","3202","5170600","3202"
"2019-02-07","3192","3205","3148","3156","2948600","3156"
"2019-02-08","3122","3127","3065","3065","4282400","3065"
"2019-02-12","3090","3128","3067","3120","3340000","3120"
"2019-02-13","3158","3162","3129","3157","2744400","3157"
"2019-02-14","3186","3192","3143","3149","2510700","3149"
"2019-02-15","3150","3153","3128","3143","2626700","3143"
"2019-02-18","3190","3198","3172","3191","2888800","3191"
"2019-02-19","3180","3209","3175","3193","2966300","3193"
"2019-02-20","3209","3255","3198","3254","4645900","3254"
"2019-02-21","3254","3290","3242","3248","5231600","3248"
"2019-02-22","3180","3194","3145","3187","6157600","3187"
"2019-02-25","3220","3227","3194","3200","2876200","3200"
"2019-02-26","3198","3202","3155","3171","3690500","3171"
"2019-02-27","3172","3185","3154","3155","3911600","3155"
"2019-02-28","3150","3166","3137","3139","3435600","3139"
"2019-03-01","3133","3155","3132","3140","3759800","3140"
"2019-03-04","3152","3156","3132","3148","2348800","3148"
"2019-03-05","3148","3152","3131","3148","2746300","3148"
"2019-03-06","3149","3153","3132","3132","2757800","3132"
"2019-03-07","3130","3139","3115","3117","2787000","3117"
"2019-03-08","3103","3124","3085","3094","4549100","3094"
"2019-03-11","3094","3130","3087","3122","2323400","3122"
"2019-03-12","3160","3187","3156","3170","3273700","3170"
"2019-03-13","3157","3167","3125","3142","3039300","3142"
"2019-03-14","3160","3164","3129","3129","3720000","3129"
"2019-03-15","3152","3189","3148","3189","5156400","3189"
"2019-03-18","3198","3200","3169","3191","3045100","3191"
"2019-03-19","3189","3198","3179","3189","2633900","3189"
"2019-03-20","3185","3228","3185","3222","3059100","3222"
"2019-03-22","3238","3256","3215","3255","3606200","3255"
"2019-03-25","3196","3198","3161","3182","4229000","3182"
"2019-03-26","3210","3254","3198","3252","5923900","3252"
"2019-03-27","3205","3218","3155","3174","4741600","3174"
"2019-03-28","3143","3159","3085","3094","4123800","3094"
"2019-03-29","3104","3117","3074","3074","3849800","3074"
"2019-04-01","3108","3139","3102","3119","3777500","3119"
"2019-04-02","3140","3146","3114","3114","2327800","3114"
"2019-04-03","3112","3131","3104","3126","3207000","3126"
"2019-04-04","3140","3150","3127","3142","2485700","3142"
"2019-04-05","3142","3167","3139","3161","2404500","3161"
"2019-04-08","3174","3178","3154","3164","2375100","3164"
"2019-04-09","3138","3140","3110","3119","3352800","3119"
"2019-04-10","3090","3098","3061","3067","3660700","3067"
"2019-04-11","3050","3065","3035","3050","4101700","3050"
"2019-04-12","3047","3051","3023","3040","3572400","3040"
"2019-04-15","3051","3074","3050","3059","3099100","3059"
"2019-04-16","3050","3053","3019","3024","4414400","3024"
"2019-04-17","3015","3035","3007","3020","4043000","3020"
"2019-04-18","3020","3032","2988","2994.5","4695800","2994.5"
"2019-04-19","3018","3025","2984.5","2988.5","2882600","2988.5"
"2019-04-22","2990","3022","2981","3020","2657700","3020"
"2019-04-23","3006","3044","3004","3042","3199300","3042"
"2019-04-24","3062","3064","3016","3025","3394100","3025"
"2019-04-25","3016","3027","3001","3021","2713400","3021"
"2019-04-26","3016","3060","3015","3056","3835400","3056"
"2019-05-07","3026","3033","2980","2986.5","5125400","2986.5"
"2019-05-08","2943","2950","2915.5","2929","5110400","2929"
"2019-05-09","2924","3090","2868","3003","13024100","3003"
"2019-05-10","2900","2943","2826","2844","19510600","2844"
"2019-05-13","2850","2874","2834.5","2855.5","8372800","2855.5"
"2019-05-14","2818","2902","2811.5","2892","7804400","2892"
"2019-05-15","2892.5","2907.5","2865.5","2898","5682700","2898"
"2019-05-16","2884","2896.5","2866.5","2894","4604000","2894"
"2019-05-17","2902.5","2945.5","2889","2934","4052600","2934"
"2019-05-20","2920","2942","2913","2933","3000600","2933"
"2019-05-21","2914","2917.5","2857.5","2862","6251500","2862"
"2019-05-22","2862","2886.5","2844","2879","4514600","2879"
"2019-05-23","2850","2863.5","2833.5","2839","4551400","2839"
"2019-05-24","2799.5","2854.5","2773","2851","5299800","2851"
"2019-05-27","2850.5","2885","2850","2871","2739400","2871"
"2019-05-28","2872","2893.5","2855","2855","4192800","2855"
"2019-05-29","2830.5","2846.5","2808.5","2843","5047500","2843"
"2019-05-30","2842","2873","2835","2866","4215900","2866"
"2019-05-31","2843.5","2860.5","2829","2833","4895500","2833"
"2019-06-03","2796","2844","2792","2840","4244200","2840"
"2019-06-04","2844.5","2865","2839","2857","4753700","2857"
"2019-06-05","2890.5","2915.5","2881","2908","4384900","2908"
"2019-06-06","2905","2913","2878.5","2878.5","3518500","2878.5"
"2019-06-07","2890","2906","2882","2895","2930400","2895"
"2019-06-10","2899.5","2915","2885","2907","3990600","2907"
"2019-06-11","2896","2911","2891","2909.5","3666800","2909.5"
"2019-06-12","2894","2915","2888.5","2904","3465800","2904"
"2019-06-13","2891","2894","2848.5","2866","4703200","2866"
"2019-06-14","2867","2896.5","2867","2879","4132300","2879"
"2019-06-17","2859.5","2887","2859","2877","3145400","2877"
"2019-06-18","2877","2878","2841","2847.5","4183900","2847.5"
"2019-06-19","2885","2909.5","2867","2903","5263000","2903"
"2019-06-20","2886","2899","2871","2887","3868100","2887"
"2019-06-21","2890","2914.5","2884","2891.5","6532700","2891.5"
"2019-06-24","2878.5","2904","2874","2884.5","2565800","2884.5"
"2019-06-25","2882","2883","2855.5","2860","3622400","2860"
"2019-06-26","2851","2868.5","2842.5","2849","3151100","2849"
"2019-06-27","2840","2876","2834.5","2865.5","2856900","2865.5"
"2019-06-28","2853.5","2858.5","2824","2840","4680900","2840"
"2019-07-01","2882.5","2913","2876","2910.5","5837700","2910.5"
"2019-07-02","2913.5","2962","2908.5","2950.5","5043400","2950.5"
"2019-07-03","2926","2927.5","2897","2912.5","4606500","2912.5"
"2019-07-04","2923.5","2942","2920","2938","2797600","2938"
"2019-07-05","2925","2956.5","2921.5","2952","3255700","2952"
"2019-07-08","2952","2967.5","2939","2941","4375400","2941"
"2019-07-09","2945","2962.5","2937","2941","3623300","2941"
"2019-07-10","2933","2941.5","2923","2931.5","4187000","2931.5"
"2019-07-11","2932.5","2946","2910","2921.5","4946900","2921.5"
"2019-07-12","2940","2958","2933.5","2952.5","4045500","2952.5"
"2019-07-16","2950","2958","2938","2940","3417600","2940"
"2019-07-17","2930","2955","2922","2936.5","3152800","2936.5"
"2019-07-18","2920","2923","2862.5","2870.5","5881600","2870.5"
"2019-07-19","2870.5","2925.5","2862.5","2921.5","4511500","2921.5"
"2019-07-22","2929","2950","2919","2925","3205400","2925"
"2019-07-23","2916","2947.5","2901","2936.5","3598900","2936.5"
"2019-07-24","2945","2950","2932","2948","3699800","2948"
"2019-07-25","2949.5","2962.5","2942.5","2943","3512900","2943"
"2019-07-26","2926.5","2954.5","2924.5","2949.5","3128600","2949.5"
"2019-07-29","2949.5","2957","2937.5","2948.5","2477200","2948.5"
"2019-07-30","2955","2979","2944.5","2958.5","3024300","2958.5"
"2019-07-31","2935","2953","2932.5","2936.5","3251800","2936.5"
"2019-08-01","2905","2931.5","2861","2884","6600700","2884"
"2019-08-02","2810","2821","2760.5","2780","11661400","2780"
"2019-08-05","2754","2757","2685","2704","9005300","2704"
"2019-08-06","2604","2718","2599.5","2710","7088300","2710"
"2019-08-07","2708","2708","2660","2670","6227000","2670"
"2019-08-08","2670","2684.5","2656","2658.5","5336600","2658.5"
"2019-08-09","2680","2682","2636.5","2652.5","5691900","2652.5"
"2019-08-13","2620","2627","2606","2620","5379800","2620"
"2019-08-14","2644.5","2654","2625.5","2646.5","4440400","2646.5"
"2019-08-15","2575","2598","2557","2595","7521900","2595"
"2019-08-16","2583.5","2613.5","2571","2605.5","4537800","2605.5"
"2019-08-19","2597","2603.5","2562","2571","7634500","2571"
"2019-08-20","2570","2602.5","2562","2600.5","5287400","2600.5"
"2019-08-21","2575","2576","2561.5","2567.5","5148000","2567.5"
"2019-08-22","2562","2571.5","2555.5","2566","4756600","2566"
"2019-08-23","2556","2583","2555.5","2578","4441600","2578"
"2019-08-26","2520","2557.5","2520","2551.5","4983800","2551.5"
"2019-08-27","2565","2571","2551","2554.5","4583200","2554.5"
"2019-08-28","2554","2564","2541.5","2541.5","4447300","2541.5"
"2019-08-29","2536","2541.5","2520.5","2538","5762800","2538"
"2019-08-30","2551","2588","2549.5","2585","5919900","2585"
"2019-09-02","2585","2603.5","2580.5","2599","3600400","2599"
"2019-09-03","2597.5","2616.5","2589.5","2604","3892000","2604"
"2019-09-04","2584.5","2597.5","2577.5","2588.5","5181400","2588.5"
"2019-09-05","2602.5","2649.5","2601.5","2644","6242900","2644"
"2019-09-06","2668","2706","2664","2705","6583900","2705"
"2019-09-10","2716.5","2759","2715.5","2757","6177800","2757"
"2019-09-11","2774.5","2807.5","2766.5","2805.5","6848600","2805.5"
"2019-09-12","2820","2822","2793","2800.5","6947400","2800.5"
"2019-09-13","2799.5","2818.5","2780","2811","8482200","2811"
"2019-09-17","2820","2840.5","2804","2814","7123600","2814"
"2019-09-18","2815.5","2826.5","2792","2792.5","5211200","2792.5"
