8628 東証1部 松井証券(株)（証券業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2016-01-04","1102","1109","1083","1088","1213500","1088"
"2016-01-05","1089","1097","1080","1084","960300","1084"
"2016-01-06","1090","1091","1068","1072","1371400","1072"
"2016-01-07","1070","1071","1046","1050","1282300","1050"
"2016-01-08","1033","1051","1030","1037","2141700","1037"
"2016-01-12","1026","1032","1003","1004","1772000","1004"
"2016-01-13","1018","1047","1018","1045","1688200","1045"
"2016-01-14","1012","1026","1002","1023","1382400","1023"
"2016-01-15","1039","1042","1007","1014","858900","1014"
"2016-01-18","994","999","981","994","1377200","994"
"2016-01-19","993","1010","991","1007","1366900","1007"
"2016-01-20","1009","1014","978","980","1694100","980"
"2016-01-21","980","1004","956","956","1991300","956"
"2016-01-22","988","1014","974","1011","1547200","1011"
"2016-01-25","1011","1025","1004","1018","1110300","1018"
"2016-01-26","1010","1012","1001","1007","1072800","1007"
"2016-01-27","1020","1053","1018","1031","1460700","1031"
"2016-01-28","1016","1019","1000","1000","1782600","1000"
"2016-01-29","1010","1037","990","1035","2950400","1035"
"2016-02-01","1055","1070","1047","1066","1558300","1066"
"2016-02-02","1056","1067","1051","1054","821600","1054"
"2016-02-03","1027","1031","1004","1017","1094600","1017"
"2016-02-04","1005","1017","1003","1006","1007100","1006"
"2016-02-05","996","998","980","991","1368500","991"
"2016-02-08","976","1013","973","1011","1796300","1011"
"2016-02-09","976","978","953","963","1843400","963"
"2016-02-10","956","962","918","934","2028500","934"
"2016-02-12","891","906","876","879","2663000","879"
"2016-02-15","920","958","917","951","1591800","951"
"2016-02-16","938","975","934","959","1702000","959"
"2016-02-17","955","962","929","944","1557700","944"
"2016-02-18","970","972","954","963","1109300","963"
"2016-02-19","950","957","945","951","891400","951"
"2016-02-22","944","968","939","963","824200","963"
"2016-02-23","968","976","955","961","941600","961"
"2016-02-24","950","965","950","953","735600","953"
"2016-02-25","947","974","943","970","925800","970"
"2016-02-26","985","992","967","968","819200","968"
"2016-02-29","972","982","959","959","868000","959"
"2016-03-01","957","969","957","968","809900","968"
"2016-03-02","995","997","987","993","1342700","993"
"2016-03-03","988","1008","988","1008","1204100","1008"
"2016-03-04","1009","1027","1008","1027","1192000","1027"
"2016-03-07","1034","1035","1024","1026","809100","1026"
"2016-03-08","1034","1042","1021","1040","1573500","1040"
"2016-03-09","1034","1034","1013","1023","1171200","1023"
"2016-03-10","1029","1034","1014","1023","1201500","1023"
"2016-03-11","1003","1023","994","1019","2802100","1019"
"2016-03-14","1032","1034","1023","1024","1051900","1024"
"2016-03-15","1022","1038","1022","1025","1233300","1025"
"2016-03-16","1021","1022","1010","1013","950500","1013"
"2016-03-17","1017","1025","998","1001","1097200","1001"
"2016-03-18","999","1009","997","1005","1141900","1005"
"2016-03-22","1018","1023","1008","1020","941700","1020"
"2016-03-23","1024","1029","1011","1014","797500","1014"
"2016-03-24","1013","1015","998","998","1423100","998"
"2016-03-25","1006","1009","998","1002","1352600","1002"
