8893 東証JQS (株)新日本建物（不動産業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","243","249","242","249","330500","249"
"2018-01-05","250","256","247","254","765400","254"
"2018-01-09","255","257","253","256","248400","256"
"2018-01-10","254","259","254","259","159000","259"
"2018-01-11","258","262","253","254","407000","254"
"2018-01-12","255","256","251","252","147700","252"
"2018-01-15","253","260","251","259","232200","259"
"2018-01-16","261","261","254","255","108000","255"
"2018-01-17","255","255","252","254","76200","254"
"2018-01-18","254","255","251","251","193300","251"
"2018-01-19","251","254","251","254","65700","254"
"2018-01-22","254","256","253","254","92500","254"
"2018-01-23","256","258","255","258","191800","258"
"2018-01-24","258","267","257","265","496200","265"
"2018-01-25","265","265","260","262","158000","262"
"2018-01-26","263","274","263","264","337300","264"
"2018-01-29","267","277","264","272","657400","272"
"2018-01-30","273","274","257","261","525500","261"
"2018-01-31","259","267","259","261","178000","261"
"2018-02-01","264","266","260","265","99900","265"
"2018-02-02","265","265","259","261","149300","261"
"2018-02-05","256","257","253","255","171800","255"
"2018-02-06","243","263","241","263","1174700","263"
"2018-02-07","271","277","247","251","896600","251"
"2018-02-08","251","266","251","264","286100","264"
"2018-02-09","251","264","248","264","317800","264"
"2018-02-13","272","272","262","262","335200","262"
"2018-02-14","260","264","247","253","296300","253"
"2018-02-15","260","265","255","259","168900","259"
"2018-02-16","259","268","259","267","266200","267"
"2018-02-19","271","297","268","289","1151500","289"
"2018-02-20","290","308","286","305","1035700","305"
"2018-02-21","304","316","299","307","787600","307"
"2018-02-22","307","315","290","314","1087100","314"
"2018-02-23","314","329","310","326","1402300","326"
"2018-02-26","327","343","327","341","1148800","341"
"2018-02-27","344","346","328","335","1223800","335"
"2018-02-28","329","369","325","358","1463400","358"
"2018-03-01","355","360","344","344","874800","344"
"2018-03-02","335","357","332","348","999300","348"
"2018-03-05","351","387","351","371","3107300","371"
"2018-03-06","377","388","370","388","1299500","388"
"2018-03-07","380","415","380","388","2774600","388"
"2018-03-08","386","401","386","396","1007900","396"
"2018-03-09","406","409","391","393","973200","393"
"2018-03-12","400","432","395","430","2728400","430"
"2018-03-13","432","434","421","431","1022600","431"
"2018-03-14","428","428","405","418","1236100","418"
"2018-03-15","417","425","407","411","813200","411"
"2018-03-16","410","418","397","413","908000","413"
"2018-03-19","414","415","399","407","761200","407"
"2018-03-20","392","397","364","371","1613900","371"
"2018-03-22","372","390","372","378","900300","378"
"2018-03-23","360","374","360","366","785400","366"
"2018-03-26","358","363","346","362","564000","362"
"2018-03-27","368","374","363","365","394800","365"
"2018-03-28","356","366","352","357","490100","357"
"2018-03-29","357","374","348","372","548400","372"
"2018-03-30","377","389","368","389","932300","389"
"2018-04-02","393","397","387","393","836700","393"
"2018-04-03","385","404","383","396","731500","396"
"2018-04-04","398","405","388","400","675400","400"
"2018-04-05","408","408","390","397","604800","397"
"2018-04-06","395","405","380","381","603000","381"
"2018-04-09","375","387","370","386","414000","386"
"2018-04-10","381","384","376","376","198200","376"
"2018-04-11","376","380","371","378","187600","378"
"2018-04-12","374","385","374","376","154300","376"
"2018-04-13","378","397","374","395","526000","395"
"2018-04-16","396","400","381","383","516200","383"
"2018-04-17","407","430","388","408","3604800","408"
"2018-04-18","413","429","408","429","1859100","429"
"2018-04-19","430","443","421","434","1699200","434"
"2018-04-20","436","457","436","454","1491200","454"
"2018-04-23","455","457","414","422","2380000","422"
"2018-04-24","421","441","400","435","1956800","435"
"2018-04-25","431","469","430","467","1940900","467"
"2018-04-26","464","474","452","457","1382000","457"
"2018-04-27","456","470","450","466","1058400","466"
"2018-05-01","467","469","439","443","1027300","443"
"2018-05-02","445","456","441","450","584900","450"
"2018-05-07","447","456","440","449","666100","449"
"2018-05-08","479","501","469","490","4160200","490"
"2018-05-09","484","488","452","455","2593800","455"
"2018-05-10","459","472","440","440","2372800","440"
"2018-05-11","443","448","426","427","1178800","427"
"2018-05-14","426","430","420","425","1068100","425"
"2018-05-15","429","431","402","409","1310000","409"
"2018-05-16","404","419","402","412","690400","412"
"2018-05-17","410","419","407","417","444000","417"
"2018-05-18","416","418","411","412","245900","412"
"2018-05-21","410","427","410","420","553900","420"
"2018-05-22","419","422","411","420","470100","420"
"2018-05-23","424","424","410","414","465400","414"
"2018-05-24","411","413","392","399","973700","399"
"2018-05-25","391","405","389","393","500800","393"
"2018-05-28","392","402","392","397","247700","397"
"2018-05-29","397","397","380","385","671900","385"
"2018-05-30","369","377","366","375","662400","375"
"2018-05-31","379","384","373","383","269100","383"
"2018-06-01","382","384","369","373","266400","373"
"2018-06-04","372","376","369","375","188100","375"
"2018-06-05","375","377","367","370","265400","370"
"2018-06-06","374","390","371","379","419400","379"
"2018-06-07","380","390","376","390","241800","390"
"2018-06-08","392","393","386","386","199400","386"
"2018-06-11","387","392","382","390","152700","390"
"2018-06-12","396","399","391","396","219700","396"
"2018-06-13","394","397","390","390","177500","390"
"2018-06-14","390","391","378","379","194900","379"
"2018-06-15","379","382","375","376","138100","376"
"2018-06-18","372","373","361","370","253500","370"
"2018-06-19","365","372","352","355","380600","355"
"2018-06-20","355","361","340","358","646100","358"
"2018-06-21","361","369","357","365","211500","365"
"2018-06-22","362","368","359","365","241000","365"
"2018-06-25","365","368","348","348","354500","348"
"2018-06-26","340","344","330","333","657400","333"
"2018-06-27","335","339","325","330","317500","330"
"2018-06-28","330","331","321","326","220300","326"
"2018-06-29","326","331","325","329","106900","329"
"2018-07-02","335","335","323","324","240500","324"
"2018-07-03","323","329","315","319","306600","319"
"2018-07-04","316","318","311","316","205600","316"
"2018-07-05","317","318","305","305","266500","305"
"2018-07-06","306","321","306","318","332200","318"
"2018-07-09","322","330","315","330","192000","330"
"2018-07-10","331","333","323","327","157700","327"
"2018-07-11","327","327","320","324","126900","324"
"2018-07-12","323","328","321","328","88800","328"
"2018-07-13","326","329","323","326","112800","326"
"2018-07-17","324","325","318","322","124400","322"
"2018-07-18","321","336","321","333","203400","333"
"2018-07-19","333","334","321","321","169500","321"
"2018-07-20","324","352","323","342","888800","342"
"2018-07-23","338","353","334","340","545800","340"
"2018-07-24","345","346","336","340","330400","340"
"2018-07-25","345","353","339","351","290100","351"
"2018-07-26","349","350","342","346","247700","346"
"2018-07-27","349","349","335","340","219400","340"
"2018-07-30","340","340","332","336","162900","336"
"2018-07-31","333","336","325","329","173500","329"
"2018-08-01","334","334","327","328","94800","328"
"2018-08-02","326","329","321","325","200100","325"
"2018-08-03","323","326","319","322","228200","322"
"2018-08-06","327","327","315","315","263500","315"
"2018-08-07","344","353","326","338","1361100","338"
"2018-08-08","340","358","339","356","609700","356"
"2018-08-09","356","356","341","341","305000","341"
"2018-08-10","339","343","330","332","230600","332"
"2018-08-13","325","329","312","313","361700","313"
"2018-08-14","316","326","315","324","283000","324"
"2018-08-15","324","324","316","318","227600","318"
"2018-08-16","314","314","306","311","295100","311"
"2018-08-17","311","315","311","314","177600","314"
"2018-08-20","314","322","314","321","131200","321"
"2018-08-21","314","317","311","313","185400","313"
"2018-08-22","313","321","312","319","111900","319"
"2018-08-23","319","323","318","322","95700","322"
"2018-08-24","323","329","321","323","214400","323"
"2018-08-27","324","333","323","327","142400","327"
"2018-08-28","327","331","320","320","222400","320"
"2018-08-29","320","327","320","324","89200","324"
"2018-08-30","326","338","326","333","294700","333"
"2018-08-31","329","334","327","332","156600","332"
"2018-09-03","329","333","321","321","185000","321"
