9437 東証1部 (株)ＮＴＴドコモ（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","2422.5","2480.5","2417.5","2465","6319300","2465"
"2019-01-07","2494.5","2499","2463.5","2484","4633900","2484"
"2019-01-08","2508","2541","2488","2525.5","5354100","2525.5"
"2019-01-09","2556","2561.5","2533.5","2551","4480200","2551"
"2019-01-10","2516.5","2570.5","2512","2570.5","4333200","2570.5"
"2019-01-11","2598","2607.5","2561","2575","3828600","2575"
"2019-01-15","2563","2575.5","2545.5","2551.5","4675600","2551.5"
"2019-01-16","2574","2582","2554.5","2575.5","3020400","2575.5"
"2019-01-17","2565","2585.5","2552.5","2572","2768800","2572"
"2019-01-18","2580.5","2599","2575","2579.5","2448500","2579.5"
"2019-01-21","2586","2593","2573.5","2583.5","1918500","2583.5"
"2019-01-22","2581","2594","2571.5","2579.5","1913900","2579.5"
"2019-01-23","2600","2601.5","2566.5","2570","2602900","2570"
"2019-01-24","2552","2594.5","2544.5","2589.5","3528000","2589.5"
"2019-01-25","2577","2602.5","2573","2602.5","2691100","2602.5"
"2019-01-28","2581","2586","2565.5","2572.5","3024200","2572.5"
"2019-01-29","2560","2601","2530","2590","3559600","2590"
"2019-01-30","2588.5","2614.5","2587","2609","5125400","2609"
"2019-01-31","2634","2639","2595.5","2605.5","5201900","2605.5"
"2019-02-01","2595","2622.5","2587","2616","2880900","2616"
"2019-02-04","2627.5","2648","2603","2605","3710600","2605"
"2019-02-05","2624.5","2624.5","2593","2599","3467400","2599"
"2019-02-06","2608.5","2609","2565.5","2567.5","3342900","2567.5"
"2019-02-07","2581.5","2582","2539.5","2554.5","3706800","2554.5"
"2019-02-08","2555.5","2563.5","2545","2551.5","3347200","2551.5"
"2019-02-12","2540","2581.5","2522","2563","4304800","2563"
"2019-02-13","2544.5","2552","2523","2548","5254600","2548"
"2019-02-14","2540.5","2583","2540.5","2578.5","3461100","2578.5"
"2019-02-15","2577.5","2587","2568.5","2574","3228700","2574"
"2019-02-18","2600","2604.5","2579.5","2588","2330200","2588"
"2019-02-19","2587.5","2606","2581","2606","2788700","2606"
"2019-02-20","2610","2616","2597.5","2607.5","2645600","2607.5"
"2019-02-21","2597.5","2615","2577.5","2604","4892700","2604"
"2019-02-22","2590","2615","2588","2608","2596800","2608"
"2019-02-25","2632.5","2636.5","2603.5","2607","3378600","2607"
"2019-02-26","2600","2619.5","2599.5","2606","2608500","2606"
"2019-02-27","2616.5","2631","2611","2627.5","3973200","2627.5"
"2019-02-28","2633.5","2633.5","2591.5","2591.5","6308600","2591.5"
"2019-03-01","2604.5","2609.5","2561","2562","4665100","2562"
"2019-03-04","2596","2597","2559","2571.5","3312700","2571.5"
"2019-03-05","2569.5","2576","2554","2567.5","3578200","2567.5"
"2019-03-06","2584","2586","2541","2544.5","4875600","2544.5"
"2019-03-07","2546.5","2558","2518","2530.5","4900600","2530.5"
"2019-03-08","2523.5","2546","2498","2498.5","5978400","2498.5"
"2019-03-11","2488","2509.5","2482","2497","3655100","2497"
"2019-03-12","2505","2537.5","2505","2527.5","3972000","2527.5"
"2019-03-13","2510","2519.5","2475.5","2482.5","4732100","2482.5"
"2019-03-14","2504","2506.5","2487","2489.5","4370600","2489.5"
"2019-03-15","2506","2540","2496","2510.5","9052600","2510.5"
"2019-03-18","2524.5","2533","2517","2522.5","3030300","2522.5"
"2019-03-19","2521","2527.5","2504","2518.5","4113500","2518.5"
"2019-03-20","2539.5","2542","2466","2479","8257200","2479"
"2019-03-22","2482","2484.5","2466","2466.5","6614800","2466.5"
"2019-03-25","2462","2462","2427","2433.5","6086600","2433.5"
"2019-03-26","2476","2516","2468.5","2508","8485900","2508"
"2019-03-27","2470.5","2471","2433","2449","6773300","2449"
"2019-03-28","2441","2447","2387.5","2417","22719600","2417"
"2019-03-29","2452.5","2461.5","2429","2451.5","6145200","2451.5"
"2019-04-01","2451.5","2462","2444.5","2446","4998900","2446"
"2019-04-02","2460","2461.5","2396.5","2396.5","6223400","2396.5"
"2019-04-03","2399.5","2405","2379","2393.5","4935500","2393.5"
"2019-04-04","2396","2408","2385","2385","4119100","2385"
"2019-04-05","2382.5","2393.5","2378","2380","4383600","2380"
"2019-04-08","2370","2373","2331.5","2332.5","8620300","2332.5"
"2019-04-09","2330","2336.5","2318","2320","6517300","2320"
"2019-04-10","2297.5","2314.5","2272.5","2272.5","11014200","2272.5"
"2019-04-11","2257.5","2308","2257.5","2295.5","8540200","2295.5"
"2019-04-12","2314","2316","2299","2306.5","4708200","2306.5"
"2019-04-15","2339","2341.5","2301","2304.5","7303100","2304.5"
"2019-04-16","2402","2429","2377.5","2386.5","11201500","2386.5"
"2019-04-17","2386.5","2405.5","2368","2382.5","6282000","2382.5"
"2019-04-18","2389","2396","2370.5","2376","3178500","2376"
"2019-04-19","2386","2386","2359.5","2364.5","2350500","2364.5"
"2019-04-22","2338","2379","2335","2378","2792000","2378"
"2019-04-23","2385","2396","2378","2387.5","3066600","2387.5"
"2019-04-24","2419.5","2423","2367","2373.5","4456800","2373.5"
"2019-04-25","2385","2397","2372.5","2392","3851800","2392"
"2019-04-26","2381","2410.5","2376.5","2410.5","6703300","2410.5"
"2019-05-07","2435","2439","2385.5","2424","9874100","2424"
"2019-05-08","2390.5","2407.5","2381","2397","7186900","2397"
"2019-05-09","2405.5","2413.5","2386.5","2409.5","5766900","2409.5"
"2019-05-10","2391.5","2413","2388","2412.5","6359200","2412.5"
"2019-05-13","2394.5","2439","2389.5","2438","4767300","2438"
"2019-05-14","2415","2455","2408","2450.5","7150900","2450.5"
"2019-05-15","2443.5","2452","2422.5","2435","6523600","2435"
"2019-05-16","2434","2455.5","2423.5","2449","4537900","2449"
